Date,log_returns,QHL,oQHLp,QHLm
2014/7/21,-0.003117701,0.419421312,0.326193041,0.517652196
2014/7/22,0.009893764,0.540212958,0.471356456,0.457127649
2014/7/23,0.000413433,0.455400142,0.573241394,0.221060357
2014/7/24,0.003423009,0.542754546,0.534656179,0.400459418
2014/7/25,-0.004394333,0.494378196,0.782995554,-0.002917753
2014/7/28,-0.000512533,0.492833266,0.887561609,0.09744123
2014/7/29,0.002895009,0.486451782,0.925739713,0.157147104
2014/7/30,-0.005052587,0.457519302,1.458791798,-0.043774272
2014/7/31,-0.006417594,0.475605923,1.695468508,-0.274901407
2014/8/1,-0.007596263,0.459289492,1.276514542,-0.082457415
2014/8/4,-0.000248564,0.625482295,1.171805352,0.134589687
2014/8/5,0.000742515,0.656141027,1.336735684,-0.086580552
2014/8/6,-0.006955693,0.740920607,1.142586241,0.42177176
2014/8/7,-0.005862398,0.620361686,0.850281064,0.344540864
2014/8/8,-0.00455916,0.33923613,0.542134533,0.17680756
2014/8/11,0.009918128,0.337371279,0.427997455,0.397050351
2014/8/12,-6.03E-05,0.418949449,0.246552541,0.670478734
2014/8/13,0.003651117,0.489097523,-0.045675548,0.994168703
2014/8/14,0.004284241,0.415157379,-0.149707905,1.023159177
2014/8/15,0.000571243,0.325507836,-0.063554864,0.701544405
2014/8/18,0.007769022,0.291285619,-0.26240236,0.924457132
2014/8/19,0.005629959,0.277204138,-0.037525492,0.495205766
2014/8/20,-0.003521299,0.23264184,-0.110452841,0.697701858
2014/8/21,0.003277882,0.312136983,0.010559748,0.709609232
2014/8/22,-0.000355643,0.471942337,0.279382772,0.718091874
2014/8/26,0.006987816,0.504709766,0.664225427,0.294741386
2014/8/27,0.001157219,0.620589993,0.951182695,0.253076962
2014/8/28,-0.003646112,0.637497339,0.918270574,0.235111958
2014/8/29,0.002047624,0.711527214,1.30930788,0.059117352
2014/9/1,0.000814947,0.707991147,1.398114645,-0.006205517
2014/9/2,0.000565382,0.564029583,1.359996951,-0.315297422
2014/9/3,0.006481933,0.605532612,1.532359255,0.06241059
2014/9/4,0.000638474,0.699141442,1.755192348,-0.075074934
2014/9/5,-0.003330649,0.706822123,1.288680932,0.376558197
2014/9/8,-0.002970082,0.553129432,0.921195474,0.117481635
2014/9/9,-0.000844569,0.504291994,0.952837509,-0.075112513
2014/9/10,0.000162529,0.561885163,0.581265724,0.554294548
2014/9/11,-0.004474051,0.552229734,0.331872134,0.820406154
2014/9/12,0.00107889,0.304592671,0.086528203,0.402166895
2014/9/15,-0.00040408,0.248516521,-0.012962779,0.429088424
2014/9/16,-0.001760754,0.227307019,-0.127327717,0.510776412
2014/9/17,-0.001670948,0.332227724,-0.331012652,0.982002305
2014/9/18,0.005645524,0.337446792,-0.145862192,0.898444021
2014/9/19,0.002728231,0.307633965,-0.146310897,0.88190445
2014/9/22,-0.00944646,0.310030706,-0.086708673,0.679920167
2014/9/23,-0.014506143,0.315951261,0.133994804,0.512165293
2014/9/24,0.004511921,0.364837326,0.276646668,0.501579921
2014/9/25,-0.009974622,0.344689042,0.266551622,0.430118149
2014/9/26,0.001456833,0.47155737,0.953205076,0.045008899
2014/9/29,-0.000419675,0.702101039,1.161907397,0.170588368
2014/9/30,-0.003599284,0.841235734,1.384519884,0.130506347
