,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol
436,2013/9/18,8617.45,8645.9,8594.65,8636.06,8637.991794,8686.076044,8745.589333,8812.337936,8884.942785,8962.545371,9044.548475,9130.507763,9220.077186,9312.978117,9408.980459,9507.890349,9609.54179,9713.790732,9820.510757,9929.589857,10040.92796,10154.43503,10270.02951,10387.63716,10507.19001,8596.957056,8549.366149,8491.18815,8426.872079,8358.010434,8285.64224,8210.519818,8133.221769,8054.210719,7973.86653,7892.507039,7810.401863,7727.782045,7644.847058,7561.770089,7478.702099,7395.77505,7313.1045,7230.791732,7148.92553,7067.583666,75.77
437,2013/9/19,8735.11,8770.1,8665.75,8694.18,8755.932265,8804.673043,8864.998907,8932.658876,9006.255048,9084.917197,9168.039946,9255.172896,9345.965271,9440.134643,9537.447772,9637.708147,9740.747505,9846.419829,9954.596977,10065.16541,10178.02369,10293.08055,10410.25332,10529.46675,10650.65194,8714.337251,8666.096553,8607.124209,8541.929987,8472.128127,8398.771839,8322.623719,8244.270266,8164.180424,8082.73924,8000.268891,7917.042678,7833.294793,7749.227438,7665.016162,7580.813987,7496.754677,7412.955369,7329.518729,7246.53475,7164.08227,120.86
438,2013/9/20,8693.32,8713.78,8666.49,8675.73,8714.042649,8762.550244,8822.587501,8889.923774,8963.167852,9041.45367,9124.178748,9210.894841,9301.252853,9394.971706,9491.819275,9591.59999,9694.146393,9799.313166,9906.972779,10017.01224,10129.33059,10243.837,10360.4492,10479.09229,10599.69771,8672.646631,8624.636723,8565.946511,8501.064187,8431.596269,8358.590928,8282.807112,8204.828513,8125.121832,8044.070274,7961.994475,7879.166427,7795.819204,7712.15404,7628.345642,7544.546302,7460.889144,7377.490744,7294.453276,7211.866304,7129.808289,249.59
439,2013/9/23,8682.94,8699.47,8605.59,8635.29,8703.637906,8752.087582,8812.053153,8879.309025,8952.465648,9030.657991,9113.284294,9199.896846,9290.146969,9383.753919,9480.48585,9580.147425,9682.571386,9787.612588,9895.143653,10005.05172,10117.23596,10231.60565,10348.07862,10466.58005,10587.04146,8662.291316,8614.338732,8555.718598,8490.913744,8421.528773,8348.610602,8272.917272,8195.031782,8115.420272,8034.465491,7952.487693,7869.758543,7786.510839,7702.945572,7619.237243,7535.537961,7451.980692,7368.681871,7285.743551,7203.25519,7121.295153,89.11
440,2013/9/24,8645.24,8672.08,8633.21,8664.6,8665.848038,8714.087353,8773.792563,8840.756421,8913.595409,8991.448253,9073.715805,9159.952299,9249.810569,9343.011092,9439.323028,9538.551888,9640.531139,9745.116268,9852.18045,9961.611314,10073.30847,10187.18158,10303.14884,10421.13575,10541.07414,8624.680969,8576.936589,8518.570974,8454.047493,8384.96378,8312.362209,8236.997528,8159.450205,8080.184356,7999.581068,7917.959205,7835.589253,7752.702997,7669.500558,7586.155678,7502.819805,7419.625329,7336.688179,7254.109965,7171.979756,7090.375577,79.11
441,2013/9/25,8655.04,8681.99,8609.95,8665.63,8675.671399,8723.965397,8783.738287,8850.778053,8923.699609,9001.640705,9084.001513,9170.335762,9260.295893,9353.602066,9450.023178,9549.364521,9651.459373,9756.163057,9863.348604,9972.903515,10084.72729,10198.72948,10314.8282,10432.94886,10553.02321,8634.457664,8586.659162,8528.227385,8463.630763,8394.468738,8321.784868,8246.334756,8168.699527,8089.343825,8008.649168,7926.93478,7844.471455,7761.491242,7678.194487,7594.755129,7511.32479,7428.036007,7345.004841,7262.333019,7180.10971,7098.413026,108.14
442,2013/9/26,8678.82,8688.49,8628.61,8664.1,8699.508084,8747.934771,8807.871889,8875.095849,8948.21776,9026.373001,9108.960098,9195.531554,9285.738853,9379.301388,9475.98742,9575.601706,9677.977067,9782.968428,9890.44847,10000.30439,10112.4354,10226.75082,10343.16852,10461.61372,10582.01798,8658.181113,8610.251283,8551.658964,8486.88486,8417.53281,8344.649239,8268.991826,8191.143291,8111.569557,8030.653188,7948.714288,7866.024392,7782.816189,7699.290573,7615.621963,7531.962396,7448.444774,7365.185478,7282.286512,7199.837291,7117.916144,88.92
443,2013/9/27,8672.82,8691.48,8611.45,8661.51,8693.493782,8741.88699,8801.782671,8868.960156,8942.031515,9020.132724,9102.662726,9189.174331,9279.319267,9372.817118,9469.436307,9568.981727,9671.286312,9776.205088,9883.610825,9993.390795,10105.44428,10219.68067,10336.01789,10454.38121,10574.70222,8652.195382,8604.298688,8545.746875,8481.017552,8411.713448,8338.880264,8263.275155,8185.48044,8105.961719,8025.101291,7943.219038,7860.586309,7777.43563,7693.967759,7610.356992,7526.755262,7443.295379,7360.093643,7277.251989,7194.859769,7112.995256,68.2
444,2013/9/30,8562.85,8606.71,8546.72,8594.4,8583.261642,8631.041231,8690.177444,8756.50313,8828.647955,8905.758853,8987.242388,9072.657039,9161.658951,9253.971264,9349.365337,9447.648536,9548.655915,9652.244338,9758.288187,9866.676164,9977.308833,10090.09672,10204.9588,10321.82129,10440.61665,8542.486899,8495.197527,8437.388142,8373.479577,8305.054239,8233.144567,8158.49812,8081.68983,8003.179393,7923.344263,7842.500264,7760.915305,7678.818964,7596.409452,7513.858857,7431.317184,7348.915559,7266.768808,7184.977573,7103.630073,7022.80359,78.81
445,2013/10/1,8618.59,8691.85,8612.23,8689.14,8639.134512,8687.225123,8746.746284,8813.503718,8886.118171,8963.731024,9045.744976,9131.715636,9221.296907,9314.210128,9410.225171,9509.148146,9610.813034,9715.075766,9821.80991,9930.90344,10042.25627,10155.77836,10271.38813,10389.01134,10508.58,8598.094345,8550.497142,8492.311446,8427.986867,8359.116113,8286.738345,8211.605985,8134.29771,8055.276209,7974.92139,7893.551136,7811.435099,7728.804351,7645.858393,7562.770433,7479.691454,7396.753435,7314.071948,7231.748292,7149.871259,7068.518635,83.4
446,2013/10/2,8650.71,8672.26,8581.02,8629.42,8671.331077,8719.600914,8779.343901,8846.350128,8919.235203,8997.137305,9079.456909,9165.747967,9255.663092,9348.922585,9445.295459,9544.587102,9646.630878,9751.28218,9858.414103,9967.914206,10079.68203,10193.62719,10309.66783,10427.7294,10547.74367,8630.137961,8582.363372,8523.960828,8459.396522,8390.269099,8317.621591,8242.209226,8164.612837,8085.296835,8004.642548,7922.969041,7840.546972,7757.608273,7674.35319,7590.955576,7507.566975,7424.31986,7341.330234,7258.699772,7176.517597,7094.861786,76.86
447,2013/10/3,8647.86,8654.79,8590.46,8597.91,8668.474284,8716.728218,8776.451522,8843.435674,8916.296736,8994.173173,9076.465657,9162.728286,9252.613788,9345.842557,9442.18368,9541.442612,9643.452769,9748.069593,9855.166222,9964.630249,10076.36125,10190.26887,10306.27128,10424.29395,10544.26869,8627.294739,8579.535889,8521.152586,8456.609551,8387.504902,8314.881328,8239.493808,8161.922983,8082.633112,8002.005397,7920.358797,7837.963882,7755.052508,7671.824853,7588.454715,7505.093587,7421.873898,7338.911613,7256.308373,7174.153274,7092.524364,49.87
448,2013/10/4,8590.91,8639.74,8570.21,8622.97,8611.38853,8659.32469,8718.654689,8785.197721,8857.578961,8934.942547,9016.693099,9102.387649,9191.681216,9284.296032,9380.002706,9478.607974,9579.946348,9683.874224,9790.265574,9899.008732,10010.00394,10123.16143,10238.3999,10355.64534,10474.83,8570.48017,8523.035834,8465.037011,8400.91902,8332.269456,8260.12414,8185.233081,8108.173094,8029.405382,7949.308637,7868.199716,7786.347408,7703.982042,7621.302478,7538.481369,7455.669212,7372.997561,7290.58162,7208.522359,7126.908288,7045.81694,85.01
449,2013/10/7,8557.04,8604.86,8510.42,8591.58,8577.437792,8625.184963,8684.281051,8750.561734,8822.657608,8899.716186,8981.144432,9066.501129,9155.442652,9247.69233,9343.021677,9441.238189,9542.177034,9645.69517,9751.667067,9859.981501,9970.539105,10083.25046,10198.03461,10314.81781,10433.53257,8536.690715,8489.43343,8431.66327,8367.798067,8299.419156,8227.558277,8152.962478,8076.206303,7997.749136,7917.968175,7837.17903,7755.649428,7673.60879,7591.255194,7508.76061,7426.274943,7343.929229,7261.838215,7180.102476,7098.810172,7018.038531,87.36
450,2013/10/8,8591.02,8610.01,8551.69,8555.89,8611.498792,8659.435566,8718.766325,8785.310209,8857.692376,8935.056952,9016.80855,9102.504199,9191.798908,9284.41491,9380.12281,9478.72934,9580.069012,9683.998219,9790.390931,9899.135481,10010.13211,10123.29105,10238.531,10355.77794,10474.96412,8570.589908,8523.144964,8465.145399,8401.026587,8332.376144,8260.229905,8185.337886,8108.276913,8029.508193,7949.410421,7868.300462,7786.447106,7704.080685,7621.400063,7538.577894,7455.764676,7373.091967,7290.67497,7208.614658,7126.999542,7045.907157,77.44
451,2013/10/9,8541.08,8589.64,8489.62,8516.69,8561.439748,8609.097863,8668.08373,8734.240791,8806.202197,8883.11705,8964.393422,9049.590917,9138.366553,9230.444173,9325.595718,9423.629044,9524.379624,9627.704686,9733.478932,9841.591345,9951.942744,10064.44388,10179.01394,10295.57932,10414.07266,8520.768669,8473.599525,8415.937114,8352.191028,8283.939653,8212.212803,8137.756135,8061.143121,7982.832287,7903.200128,7822.561665,7741.184126,7659.296505,7577.096509,7494.755789,7412.423968,7330.231839,7248.293936,7166.710645,7085.569961,7004.94897,78.21
452,2013/10/10,8563.39,8694.17,8547.72,8685.77,8583.802929,8631.585531,8690.725474,8757.055342,8829.204717,8906.320478,8987.809151,9073.229189,9162.236714,9254.554849,9349.954938,9448.244334,9549.258083,9652.853038,9758.903575,9867.298387,9977.938033,10090.73303,10205.60236,10322.47222,10441.27507,8543.025615,8495.733261,8437.92023,8374.007634,8305.577981,8233.663775,8159.01262,8082.199486,8003.684098,7923.843933,7842.994836,7761.404733,7679.303214,7596.888506,7514.332704,7431.785826,7349.379005,7267.227073,7185.43068,7104.07805,7023.24647,105.33
453,2013/10/11,8705.03,8729.33,8695.76,8724.83,8725.780562,8774.353498,8834.471625,8901.898602,8975.24134,9053.63261,9136.46912,9223.30202,9313.781745,9407.626839,9504.604862,9604.519983,9707.204518,9812.512951,9920.317583,10030.50526,10142.97491,10257.63556,10374.40484,10493.20775,10613.97563,8684.328784,8636.254206,8577.484938,8512.515216,8442.953724,8369.850044,8293.964146,8215.880509,8136.066463,8054.905727,7972.719371,7889.779753,7806.320261,7722.542398,7638.621109,7554.708891,7470.939046,7387.428307,7304.278987,7221.58077,7139.412221,92.38
454,2013/10/14,8688.45,8727.58,8675.95,8723.81,8709.16104,8757.641461,8817.645085,8884.943637,8958.146683,9036.388645,9119.067381,9205.734896,9296.042289,9389.70864,9486.501955,9586.226773,9688.71573,9793.823589,9901.422891,10011.4007,10123.65613,10238.0984,10354.64528,10473.2219,10593.75976,8667.788212,8619.8052,8561.147866,8496.301889,8426.872887,8353.908444,8278.167081,8200.232166,8120.570137,8039.563984,7957.534164,7874.752516,7791.451985,7707.833689,7624.072241,7540.319845,7456.709552,7373.357872,7290.366921,7207.826215,7125.814168,64.14
455,2013/10/15,8757.13,8820.98,8757.09,8804.44,8778.004755,8826.868402,8887.346339,8955.176869,9028.958568,9107.819012,9191.151302,9278.503902,9369.525152,9463.931913,9561.490354,9662.003472,9765.302578,9871.241287,9979.691135,10090.53829,10203.68108,10319.02798,10436.49613,10556.01008,10677.50075,8736.304886,8687.94258,8628.821575,8563.463007,8493.485186,8419.943977,8343.603898,8265.052927,8184.76119,8103.114704,8020.436459,7937.000443,7853.041442,7768.762165,7684.338604,7599.924167,7515.652956,7431.642401,7347.995428,7264.802259,7182.141927,93.81
456,2013/10/16,8792.99,8861.28,8781,8846,8813.950237,8863.013977,8923.739569,8991.847861,9065.931692,9145.115066,9228.788597,9316.498901,9407.892879,9502.68623,9600.644168,9701.568882,9805.290993,9911.663516,10020.55746,10131.85853,10245.46463,10361.28387,10479.23305,10599.2364,10721.22457,8772.079608,8723.519261,8664.156158,8598.52995,8528.265574,8454.423218,8377.77053,8298.897897,8218.277369,8136.296545,8053.279737,7969.502055,7885.199246,7800.574849,7715.805578,7631.045468,7546.42917,7462.074597,7378.085094,7294.551253,7211.552432,92.34
457,2013/10/17,8817.11,8829.79,8765.47,8811.98,8838.127732,8887.32606,8948.218227,9016.513347,9090.800396,9170.200978,9254.104034,9342.054936,9433.699616,9528.752994,9626.97964,9728.1812,9832.18783,9938.852143,10048.04479,10159.65118,10273.5689,10389.70585,10507.97857,10628.3111,10750.6339,8796.142249,8747.448696,8687.922755,8622.116528,8551.65941,8477.614497,8400.751544,8321.662556,8240.820878,8158.615173,8075.370642,7991.36315,7906.82909,7821.972561,7736.970759,7651.978145,7567.129737,7482.543771,7398.323877,7314.560894,7231.334399,95.19
458,2013/10/18,8849.77,8865.1,8804.81,8865.1,8870.865586,8920.246151,8981.363873,9049.911969,9124.47419,9204.168884,9288.38273,9376.659417,9468.643563,9564.049035,9662.639528,9764.215955,9868.607842,9975.667257,10085.26437,10197.28417,10311.62386,10428.19099,10546.90182,10667.68008,10790.45599,8828.724581,8779.850659,8720.104225,8654.054241,8583.336138,8509.016951,8431.869285,8352.487338,8271.34621,8188.836001,8105.283119,8020.96445,7936.117263,7850.946411,7765.629749,7680.322308,7595.159608,7510.260322,7425.728464,7341.655209,7258.12043,166.47
