Date,log_returns,Open,High,Low,Close
2013/3/14,0.004246591,3253,3258.93,3250.24,3258.93
2013/3/15,-0.003030119,3260.46,3260.62,3242.65,3249.07
2013/3/18,-0.003539576,3215.71,3249.37,3211.1,3237.59
2013/3/19,-0.002625765,3246.7,3252.6,3205.42,3229.1
2013/3/20,0.007739936,3251.91,3257.99,3240.9,3254.19
2013/3/21,-0.00975491,3228.17,3237.57,3215.69,3222.6
2013/3/22,0.006926863,3235.3,3247.94,3230.86,3245
2013/3/25,-0.002993691,3255.85,3263.63,3222.48,3235.3
2013/3/26,0.005296123,3249.95,3252.93,3239.92,3252.48
2013/3/27,0.001241358,3230.76,3258.26,3227.02,3256.52
2013/3/28,0.003372147,3257.32,3270.3,3253.21,3267.52
2013/4/1,-0.008714163,3268.63,3270.23,3230.57,3239.17
2013/4/2,0.00483214,3252.55,3267.93,3245.41,3254.86
2013/4/3,-0.011202782,3257.38,3260.15,3210.39,3218.6
2013/4/4,0.001980266,3219.11,3226.24,3206.02,3224.98
2013/4/5,-0.006570416,3174,3206.21,3168.88,3203.86
2013/4/8,0.00572354,3207.15,3222.26,3195.57,3222.25
2013/4/9,0.004832744,3229.81,3249.95,3215.02,3237.86
2013/4/10,0.01817617,3246.06,3299.16,3245.8,3297.25
2013/4/11,0.000882164,3289.59,3306.95,3287.74,3300.16
2013/4/12,-0.001579959,3292.39,3296.5,3271.02,3294.95
2013/4/15,-0.02410029,3277.58,3283.4,3213.46,3216.49
2013/4/16,0.01485573,3239.05,3265.84,3231.45,3264.63
2013/4/17,-0.018537312,3236.25,3236.98,3186.08,3204.67
2013/4/18,-0.012026458,3212.24,3212.97,3154.96,3166.36
2013/4/19,0.012460106,3169.32,3210.03,3168.33,3206.06
2013/4/22,0.008537836,3217.4,3241.16,3198.74,3233.55
2013/4/23,0.011004466,3252.8,3275.89,3241.52,3269.33
2013/4/24,9.79E-05,3262.21,3277.12,3255.44,3269.65
2013/4/25,0.00620158,3279.82,3301.28,3279.29,3289.99
2013/4/26,-0.003266738,3284.07,3287.48,3268.03,3279.26
2013/4/29,0.008429695,3290.31,3315.34,3289.42,3307.02
2013/4/30,0.006561393,3308.05,3328.79,3298.58,3328.79
2013/5/1,-0.008950077,3325.35,3330.02,3296.51,3299.13
2013/5/2,0.012497621,3306.15,3344.9,3305.81,3340.62
2013/5/3,0.011313883,3371.41,3388.12,3370.3,3378.63
2013/5/6,0.004235342,3382.33,3396.21,3381.44,3392.97
2013/5/7,0.00107812,3398.83,3402.24,3381.04,3396.63
2013/5/8,0.004887012,3394.89,3413.27,3389.8,3413.27
2013/5/9,-0.001201916,3408.94,3428.54,3403.43,3409.17
2013/5/10,0.008007931,3414.84,3436.6,3411.59,3436.58
2013/5/13,0.000642875,3429.53,3447.1,3426.67,3438.79
2013/5/14,0.006902975,3439.72,3468.67,3439.72,3462.61
2013/5/15,0.002598704,3455.67,3475.48,3452.31,3471.62
2013/5/16,-0.001839449,3473.16,3485.95,3462.24,3465.24
2013/5/17,0.009686745,3483.41,3499.2,3473.04,3498.97
2013/5/20,-0.000726192,3490.46,3509.41,3488.13,3496.43
2013/5/21,0.001626051,3495.46,3512.15,3486.88,3502.12
2013/5/22,-0.011146608,3503.48,3532.04,3446.96,3463.3
2013/5/23,-0.001120947,3426.07,3467.13,3422.51,3459.42
2013/5/24,-8.09E-05,3438.28,3459.47,3429.31,3459.14
2013/5/28,0.008563631,3497.9,3514.8,3475.39,3488.89
2013/5/29,-0.006143993,3471.67,3479.53,3450.4,3467.52
2013/5/30,0.006834519,3473.21,3503.82,3473.04,3491.3
2013/5/31,-0.010188351,3478.22,3500.67,3455.84,3455.91
2013/6/3,0.0027336,3460.76,3465.84,3419.39,3465.37
2013/6/4,-0.005820036,3467.02,3482.75,3430.02,3445.26
2013/6/5,-0.012788742,3432.85,3446.15,3397.91,3401.48
2013/6/6,0.00661343,3404.41,3424.05,3378.24,3424.05
2013/6/7,0.013105724,3437.84,3471.73,3429.43,3469.22
2013/6/10,0.001310675,3475.68,3484.81,3465.54,3473.77
2013/6/11,-0.010656009,3436.62,3466.57,3426.57,3436.95
2013/6/12,-0.010682556,3458.14,3459.18,3395.91,3400.43
2013/6/13,0.013126504,3398.54,3451.03,3387.61,3445.36
2013/6/14,-0.006347453,3442.31,3448.4,3419.32,3423.56
2013/6/17,0.008310486,3449.97,3468.56,3436.34,3452.13
2013/6/18,0.008667103,3456.29,3488.31,3456.09,3482.18
2013/6/19,-0.011257263,3483.59,3485.45,3443.2,3443.2
2013/6/20,-0.023080298,3405.14,3412.94,3355.93,3364.64
2013/6/21,-0.002198787,3367.81,3377.3,3326.86,3357.25
2013/6/24,-0.010928514,3326.38,3344.66,3294.95,3320.76
2013/6/25,0.008136624,3350.59,3358.31,3327.69,3347.89
2013/6/26,0.008426444,3375.7,3383.7,3365.48,3376.22
2013/6/27,0.0075656,3395.79,3412.79,3395.41,3401.86
2013/6/28,0.000408517,3389.3,3422.2,3382.75,3403.25
2013/7/1,0.009137586,3430.48,3454.43,3430.31,3434.49
2013/7/2,-0.000317419,3430.69,3453.29,3415.23,3433.4
2013/7/3,0.002986739,3420.27,3455.42,3417.88,3443.67
2013/7/5,0.010316354,3468.48,3479.46,3441.78,3479.38
2013/7/8,0.001565146,3493.81,3495.51,3475.39,3484.83
2013/7/9,0.005560109,3501.25,3508.81,3484.79,3504.26
2013/7/10,0.004697504,3502.11,3522.99,3502,3520.76
2013/7/11,0.016210952,3557.79,3579.29,3552.52,3578.3
2013/7/12,0.00606824,3579.58,3600.08,3576.57,3600.08
2013/7/15,0.002056172,3601.09,3609.59,3591.54,3607.49
2013/7/16,-0.002495148,3611,3611.35,3589.65,3598.5
2013/7/17,0.00319068,3608.13,3615.79,3600.69,3610
2013/7/18,0.000354508,3610.03,3624.54,3607.09,3611.28
2013/7/19,-0.006576038,3581.9,3589.05,3578.57,3587.61
2013/7/22,0.00355593,3599.87,3601.92,3587.46,3600.39
2013/7/23,-0.005883304,3606.7,3606.7,3576.96,3579.27
2013/7/24,9.22E-05,3605.26,3606.28,3573.53,3579.6
2013/7/25,0.007123412,3589.46,3606.19,3579.2,3605.19
2013/7/26,0.002208262,3584.85,3613.33,3581.26,3613.16
2013/7/29,-0.003887808,3604.29,3618.85,3592.8,3599.14
2013/7/30,0.004803484,3612.36,3629.12,3606.33,3616.47
2013/7/31,0.002733736,3627.66,3649.35,3624.77,3626.37
2013/8/1,0.013522325,3654.18,3678.5,3653.74,3675.74
2013/8/2,0.003760868,3671.11,3689.59,3663.88,3689.59
2013/8/5,0.000910256,3682.67,3694.19,3681.34,3692.95
2013/8/6,-0.007387188,3685.39,3690.32,3654.67,3665.77
2013/8/7,-0.003213214,3658.53,3663.2,3633.59,3654.01
2013/8/8,0.004126657,3672.21,3675.71,3649.64,3669.12
2013/8/9,-0.00245865,3664.27,3677.83,3649.69,3660.11
2013/8/12,0.002684836,3645.78,3673.51,3645.39,3669.95
