date,close,open,high,low,vol,return
2015/10/16,10104.43,10128.81,10166.79,10058.53,100.19,0.0039
2015/10/19,10164.31,10084.61,10205.03,10084.61,68.18,0.0059
2015/10/20,10147.68,10174.8,10194.53,10080.19,69.31,-0.0016
2015/10/21,10238.1,10185.42,10277.59,10107.92,72.19,0.0089
2015/10/22,10491.97,10213.01,10508.25,10194.74,110.84,0.0248
2015/10/23,10794.54,10610.33,10847.47,10586.96,120.12,0.0288
2015/10/26,10801.34,10791.18,10863.09,10756.83,75.35,0.0006
2015/10/27,10692.19,10761.37,10807.41,10692.19,83.82,-0.0101
2015/10/28,10831.96,10728.16,10848.41,10691.63,79.92,0.0131
2015/10/29,10800.84,10867.19,10886.98,10741.14,126.3,-0.0029
2015/10/30,10850.14,10842.52,10850.58,10748.7,92.03,0.0046
2015/11/2,10950.67,10749.98,10977.18,10744.37,95.95,0.0093
2015/11/3,10951.15,10945.35,10972.28,10883.94,84.57,0
2015/11/4,10845.24,10957.06,10990.72,10825.55,99.25,-0.0097
2015/11/5,10887.74,10847.5,10963.9,10784.28,94.79,0.0039
2015/11/6,10988.03,10872.98,11055.45,10843.48,92.25,0.0092
2015/11/9,10815.45,10993.24,10995.48,10807.17,75.76,-0.0157
2015/11/10,10832.52,10846.96,10863.56,10728.95,80.06,0.0016
2015/11/11,10907.87,10843.68,10994.54,10843.68,82.51,0.007
2015/11/12,10782.63,10895.74,10957.61,10735.17,97.22,-0.0115
2015/11/13,10708.4,10764.57,10811.78,10607.46,85.25,-0.0069
2015/11/16,10713.23,10609.14,10763.65,10608.83,65.21,0.0005
2015/11/17,10971.04,10810.92,10971.04,10782.91,76.12,0.0241
2015/11/18,10959.95,10901.74,10989.55,10877.6,63.45,-0.001
2015/11/19,11085.44,11061.88,11150.74,11045.53,77.56,0.0114
2015/11/20,11119.83,11123.81,11164.3,11049.35,78.61,0.0031
2015/11/23,11092.31,11105.92,11126.34,11049.99,61.69,-0.0025
2015/11/24,10933.99,11064.78,11064.96,10869.2,86.97,-0.0143
2015/11/25,11169.54,10958.4,11186.68,10921.71,86.83,0.0215
2015/11/26,11320.77,11180.94,11366.37,11176.56,88.74,0.0135
2015/11/27,11293.76,11277.91,11354.01,11247.14,63.97,-0.0024
2015/11/30,11382.23,11268.31,11430.87,11253.37,95.92,0.0078
2015/12/1,11261.24,11422.47,11430.38,11235.97,111.66,-0.0106
2015/12/2,11190.02,11301.51,11329.79,11188.03,87.5,-0.0063
2015/12/3,10789.24,11173.79,11318.8,10780.63,159.63,-0.0358
2015/12/4,10752.1,10770.16,10814.82,10632.77,111.67,-0.0034
2015/12/7,10886.09,10832.42,10992.55,10806.52,72.01,0.0125
2015/12/8,10673.6,10872.68,10895.5,10616.24,91.02,-0.0195
2015/12/9,10592.49,10719.7,10719.7,10554.54,88.87,-0.0076
2015/12/10,10598.93,10547.52,10662.77,10500.03,80.13,0.0006
2015/12/11,10340.06,10572.86,10596.03,10294.25,105.12,-0.0244
2015/12/14,10139.34,10406.71,10448.65,10122.95,97.32,-0.0194
2015/12/15,10450.38,10239.8,10482.75,10237.48,101.82,0.0307
2015/12/16,10469.26,10476.06,10572.55,10423.78,84.33,0.0018
2015/12/17,10738.12,10685.3,10829.62,10656.39,115.51,0.0257
2015/12/18,10608.19,10639.98,10735.85,10543.05,197.07,-0.0121
2015/12/21,10497.77,10607.2,10796.03,10497.77,79.43,-0.0104
2015/12/22,10488.75,10598.19,10623.98,10400.61,61.73,-0.0009
2015/12/23,10727.64,10623.56,10743.32,10595.27,71.41,0.0228
2015/12/28,10653.91,10748.37,10756.17,10627.46,35.34,-0.0069
2015/12/29,10860.14,10744.96,10860.14,10731.63,53.35,0.0194
2015/12/30,10743.01,10855.17,10857.43,10743.01,35.24,-0.0108
2016/1/4,10283.44,10485.81,10485.91,10248.58,119.84,-0.0428
2016/1/5,10310.1,10373.27,10384.26,10173.52,84.89,0.0026
2016/1/6,10214.02,10288.68,10288.68,10094.18,90.47,-0.0093
2016/1/7,9979.85,10144.17,10145.47,9810.47,128.03,-0.0229
2016/1/8,9849.34,10010.47,10122.46,9849.34,98.63,-0.0131
2016/1/11,9825.07,9814.04,9978.69,9813.02,92.55,-0.0025
2016/1/12,9985.43,9832.82,10092.67,9832.82,99.68,0.0163
2016/1/13,9960.96,10112.35,10164.05,9929.07,93.64,-0.0025
2016/1/14,9794.2,9836.85,9884.27,9614.77,137.02,-0.0167
2016/1/15,9545.27,9778.36,9832.92,9459.09,146.4,-0.0254
2016/1/18,9521.85,9542.6,9657.94,9457.95,91.28,-0.0025
2016/1/19,9664.21,9722.64,9756.14,9626.65,102.83,0.015
2016/1/20,9391.64,9430.13,9490.45,9314.57,138.21,-0.0282
2016/1/21,9574.16,9400.69,9656.33,9348.74,147.73,0.0194
2016/1/22,9764.88,9762.55,9837.62,9704.9,127.52,0.0199
2016/1/25,9736.15,9790.44,9800.49,9681.7,94.41,-0.0029
2016/1/26,9822.75,9599.56,9867.18,9563.64,113.63,0.0089
2016/1/27,9880.82,9781.42,9880.82,9728.64,91.93,0.0059
2016/1/28,9639.59,9826.28,9905.08,9594.8,117.74,-0.0244
2016/1/29,9798.11,9772.58,9798.38,9656.36,117.17,0.0164
2016/2/1,9757.88,9823.73,9827.1,9638.58,92.73,-0.0041
2016/2/2,9581.04,9721.18,9729.23,9536.97,107.86,-0.0181
2016/2/3,9434.82,9541.53,9577.2,9350.98,125.09,-0.0153
2016/2/4,9393.36,9522.67,9539.92,9270.09,133.77,-0.0044
2016/2/5,9286.23,9375.29,9469.71,9250.84,134.86,-0.0114
2016/2/8,8979.36,9329.87,9337.52,8937.98,154.47,-0.033
2016/2/9,8879.4,8980.71,9041.9,8772.88,159.8,-0.0111
2016/2/10,9017.29,8937.98,9128.54,8875.45,136.82,0.0155
