,Unnamed: 0,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,Hurst
1360,1360,2015/6/1,18017.82,18105.83,17982.06,18040.37,18050.56221506912,18127.483546496587,18222.99152924747,18330.21659410167,18446.91452254033,18571.691430303505,18703.57891961266,18841.857112715705,18985.965705092363,19135.453770045853,19289.949048723065,19449.137997682315,19612.752206547822,19780.558800077823,19952.353444855107,20127.95512168426,20307.20213208617,20489.94899006305,20676.063963314955,20865.4271003202,21057.92862720877,17985.137176579454,17908.819871202806,17814.95848425093,17710.747490941478,17598.70666477688,17480.466912274915,17357.20414513711,17229.8216471088,17099.04266103912,16965.463241879635,16829.58502028238,16691.83680999571,16552.589566905175,16412.167160369743,16270.854385657036,16128.903089745898,15986.536965594743,15843.955380749878,15701.336488821287,15558.839797121527,15416.608314121317,0.5209554724575556
1361,1361,2015/6/2,18033.33,18091.87,17925.33,18011.94,18066.10040004132,18143.087946463187,18238.678143866706,18345.99550960724,18462.793893310198,18587.678210839887,18719.67923080698,18858.0764557782,19002.30909891504,19151.925845356487,19306.55411580364,19465.88009691209,19629.635147254507,19797.586191126757,19969.528719218477,20145.2815565103,20324.682865330746,20507.58703444555,20693.86221815772,20883.38836168956,21076.055596676117,18000.61904273245,17924.23604231576,17830.29385812472,17725.993158485308,17613.855885957397,17495.51435096669,17372.14547745651,17244.653326731903,17113.7617642199,16980.0673579648,16844.072170429543,16706.205384491575,16566.83827536062,16426.29499118709,16284.860572394477,16142.78708275515,16000.298407785664,15857.594086650784,15714.852426317702,15572.233071405177,15429.879153487678,0.5155017586375158
1362,1362,2015/6/3,18018.42,18168.09,18010.42,18076.27,18051.16330539686,18128.087198332814,18223.59836153448,18330.82699702258,18447.52881154497,18572.309874424835,18704.20175563565,18842.48455345313,18986.597944698657,19136.09098765941,19290.59141108595,19449.78566109546,19613.405318374003,19781.217499924976,19953.017865526803,20128.625389956054,20307.87836934901,20490.631312863145,20676.75248381177,20866.12192667878,21058.629863938648,17985.73608822947,17909.416241458624,17815.55172888821,17711.337265314545,17599.292708149434,17481.049018220434,17357.782146387377,17230.395406475265,17099.612065417485,16966.028198014457,16830.14545162269,16692.392654270214,16553.14077419552,16412.71369154256,16271.396211062738,16129.440188121496,15987.069323126309,15844.482990262484,15701.859349072598,15559.357912180854,15417.121692820205,0.5152350252425284
1363,1363,2015/6/4,18072.47,18087.15,17876.95,17905.58,18105.31152575452,18182.466167913382,18278.263836722705,18385.814126814712,18502.866012712664,18628.021382354647,18760.30890070676,18899.006506549693,19043.552195898872,19193.493674347985,19348.45755394249,19508.12934022949,19672.23980871545,19840.55537782276,20012.87109436883,20189.005390107413,20368.796076110397,20552.09722510519,20738.77670523352,20928.714201147744,21121.799606021803,18039.688046035364,17963.139262003762,17868.99318329689,17764.466106755153,17652.085448626985,17533.48706214631,17409.85042568225,17282.08156273758,17150.905909835357,17016.92132982639,16880.630974862812,16742.46495933155,16602.795364267527,16461.947041360574,16320.205649693204,16177.823800123437,16035.025864094663,15892.011813856549,15748.96034337828,15606.03144377538,15463.368557278742,0.5091439943490402
1364,1364,2015/6/5,17905.38,17940.78,17822.9,17849.46,17937.9178876498,18014.359192386706,18109.271158661653,18215.82708672282,18331.796763071405,18455.795001966264,18586.85944890415,18724.274718521858,18867.484002873087,19016.03918926394,19169.570341918447,19327.765874059183,19490.35905032226,19657.118448721183,19827.84101097912,20002.346847548863,20180.475269028837,20362.08169732493,20547.035222211143,20735.216640721872,20926.51686402969,17872.90113336587,17797.06008526211,17703.784439223884,17600.223773428403,17488.882136760312,17371.380258083886,17248.886710837112,17122.29914183342,16992.336280533196,16859.5904622139,16724.560187107192,16587.671592954146,16449.293320694323,16309.74721858367,16169.316304628184,16028.250854158518,15886.773164179733,15745.081358087233,15603.352477725435,15461.74503500334,15320.401145948928,0.5166096734398978
1365,1365,2015/6/8,17849.46,17852.35,17760.61,17766.55,17881.89626910401,17958.09884124988,18052.714389512246,18158.93753449385,18274.545027839256,18398.156009858307,18528.811131561382,18665.797241793647,18808.55927156659,18956.65050767977,19109.70216969757,19267.403643954185,19429.48902812256,19595.727622966435,19765.91700437697,19939.87784461707,20117.449956131582,20298.48921235592,20482.86511190764,20670.458824102,20861.161600805084,17817.082567584086,17741.47837741967,17648.494039029003,17545.256801858395,17434.262894438303,17317.12798396113,17195.016994312246,17068.82476887896,16939.267792469418,16806.936550448438,16672.327986189754,16535.86690657061,16397.920801234068,16258.81051327704,16118.818176816609,15978.193285552625,15837.157442238004,15695.908151512209,15554.621902303164,15413.456711473907,15272.55425121218,0.5061796131090328
1366,1366,2015/6/9,17766.95,17817.83,17714.97,17764.04,17799.236330867014,17875.086652904043,17969.264836176815,18074.99695948648,18190.07005155163,18313.109635773413,18443.160797799745,18579.513683051795,18721.615788374555,18869.022465521142,19021.36663876153,19178.339130256703,19339.67526682612,19505.145415651987,19674.54808834079,19847.704786106653,20024.456061869216,20204.658455295965,20388.182068253467,20574.90861935761,20764.72986316807,17734.722233845623,17659.467527740133,17566.913013991816,17464.152995988567,17353.672163322626,17237.078714685947,17115.53218904639,16989.92329333403,16860.96520037102,16729.245665974762,16595.25933637399,16459.429054755423,16322.120612023313,16183.6533681617,16044.308153108936,15904.333307268076,15763.949409022489,15623.3530500368,15482.719903410256,15342.207255565232,15201.956123802864,0.5177218151160569
1367,1367,2015/6/10,17765.38,18045.14,17765.38,18000.4,17797.66347784275,17873.507097265905,17967.676958359138,18073.399738510096,18188.46266198949,18311.49137365593,18441.531043539584,18577.87187978886,18719.96142807142,18867.35507943232,19019.68579057865,19176.64441099231,19337.966290880955,19503.4218177186,19672.80952091652,19845.95091746211,20022.68657436477,20202.873043969044,20386.380439620123,20573.090490385992,20762.89496039156,17733.15508169474,17657.907025570737,17565.360690524256,17462.609753045705,17352.13868316444,17235.55553746183,17114.019752441527,16988.421956325117,16859.475258914295,16727.767364088646,16593.79287436683,16457.97459557048,16320.67828628024,16182.223278259493,16042.89037663068,15902.927899851924,15762.556406814898,15621.972471812143,15481.351752419325,15340.851521159988,15200.612782874096,0.5100312801756907
1368,1368,2015/6/11,18001.27,18109.77,18001.27,18039.37,18033.9821401955,18110.83281668052,18206.253071997424,18313.379646866524,18429.97038416244,18554.63267995682,18686.39902597849,18824.55020570834,18968.52642928545,19117.87718420504,19272.230553546822,19431.27328186977,19594.737205342444,19762.389662627163,19934.02650799414,20109.46688852043,20288.54925425267,20471.128252827053,20657.072272944377,20846.26147326264,21038.58618074298,17968.61719689976,17892.369991646436,17798.594819672508,17694.479547817667,17582.541635083944,17464.410489944235,17341.26094398392,17213.9954512505,17083.33659026917,16949.879868494114,16814.126455812,16676.504772090717,16537.385432479794,16397.09200885285,16255.909034883043,16114.08812621894,15971.852770349118,15829.402151693788,15686.9142602226,15544.548456735049,15402.44761834354,0.5262209248240228
1369,1369,2015/6/12,18035.83,18035.83,17857.07,17898.84,18068.604943073587,18145.603162447485,18241.206611729245,18348.53885511104,18465.353430829517,18590.25506134543,18722.274380902774,18860.690792184145,19004.943430607924,19154.58091874633,19309.230625648997,19468.57869446685,19632.356446530244,19800.33077382323,19972.29713868388,20148.07434097613,20327.5005205926,20510.430046112622,20696.73105356113,20886.283471516985,21078.977416383936,18003.114507940863,17926.720918381678,17832.765710780073,17728.450551706424,17616.29773334304,17497.939792406367,17374.55381599929,17247.043990758837,17116.134282463096,16982.421341859892,16846.40730101419,16708.521402301998,16569.134972403728,16428.572204407163,16287.118178251574,16145.024992653483,16002.51656416718,15859.79245961998,15717.031010698169,15574.391884152375,15432.018231399728,0.5188828692244621
