Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2014/1/31,15847.19,15847.19,15617.55,15698.85,15875.98772,15943.64224,16027.64425,16121.95177,16224.59095,16334.33583,16450.33466,16571.9543,16698.70194,16830.18099,16966.06402,17106.07527,17249.97867,17397.56938,17548.66771,17703.11442,17860.76732,18021.49842,18185.19189,18351.7422,18521.05282,15818.44452,15751.32126,15668.76747,15577.11091,15478.56779,15374.57253,15266.15939,15154.12282,15039.09895,14921.61202,14802.10322,14680.94971,14558.47777,14434.97223,14310.68359,14185.83334,14060.61825,13935.21365,13809.77624,13684.44631,13559.34964,137.09,-0.009494338,-0.210083536,0.397762701,0.49469851,0.412441178,0.498031742
2014/2/3,15697.69,15708.54,15356.17,15372.8,15726.21604,15793.23232,15876.44187,15969.85971,16071.53061,16180.24016,16295.14468,16415.61698,16541.16891,16671.4076,16806.00873,16944.69914,17087.24497,17233.44334,17383.11622,17536.10591,17692.27153,17851.48633,18013.63553,18178.61463,18346.328,15669.2157,15602.72567,15520.95068,15430.1588,15332.54531,15229.53113,15122.14074,15011.16112,14897.22236,14780.84378,14662.46241,14542.45185,14421.13528,14298.79488,14175.67875,14052.00633,13927.9725,13803.75095,13679.4969,13555.34931,13431.43278,151.05,-0.020987747,0.209218525,0.096973263,0.465375778,-0.038186816,0.561538279
2014/2/4,15372.93,15481.85,15356.62,15445.24,15400.86589,15466.4957,15547.98378,15639.46896,15739.03645,15845.49698,15958.0243,16076.00423,16198.95868,16326.50295,16458.3194,16594.14052,16733.73731,16876.91107,17023.48746,17173.31204,17326.24684,17482.16774,17640.96234,17802.52829,17966.77194,15345.04479,15279.93033,15199.84714,15110.93359,15015.33957,14914.45659,14809.28793,14700.6043,14589.02275,14475.05186,14359.11961,14241.59187,14122.78515,14002.97577,13882.40672,13761.29289,13639.82511,13518.17351,13396.49007,13274.9109,13153.558,124.11,0.004701151,0.088689753,-0.196442639,0.389416202,0.632750918,0.077077431
2014/2/5,15443,15478.21,15340.69,15440.23,15471.06322,15536.99218,15618.85168,15710.75385,15810.77516,15917.72094,16030.76117,16149.27885,16272.79373,16400.91934,16533.33662,16669.77682,16810.00989,16953.83623,17101.08072,17251.5882,17405.22008,17561.85167,17721.37005,17883.67243,18048.6647,15414.98769,15349.57643,15269.12822,15179.80941,15083.77967,14982.43686,14876.78885,14767.60983,14655.51969,14541.02932,14424.56865,14306.50522,14187.15697,14066.8015,13945.6829,13824.01702,13701.9956,13579.78951,13457.55144,13335.4181,13213.51208,105.13,-0.000324424,-0.069473298,-0.16597059,0.371911145,0.011698568,0.614230572
2014/2/6,15443.83,15632.09,15443,15628.53,15471.89473,15537.82723,15619.69113,15711.59824,15811.62493,15918.57646,16031.62276,16150.14681,16273.66833,16401.80083,16534.22522,16670.67275,16810.91336,16954.74743,17101.99984,17252.51541,17406.15555,17562.79555,17722.32251,17884.6336,18049.63474,15415.81618,15350.40141,15269.94888,15180.62526,15084.59036,14983.24211,14877.58841,14768.40353,14656.30737,14541.81084,14425.34391,14307.27414,14187.91948,14067.55754,13946.43243,13824.76001,13702.73203,13580.51937,13458.27473,13336.13483,13214.22225,106.98,0.012121649,-0.097354505,0.017444222,0.39301427,0.538706457,0.21974444
2014/2/7,15630.64,15798.51,15625.53,15794.08,15659.0442,15725.77423,15808.62836,15901.64719,16002.88381,16111.12903,16225.54276,16345.50048,16470.51613,16600.19853,16734.22474,16872.32275,17014.25972,17159.83363,17308.86721,17461.20343,17616.70202,17775.23675,17936.69336,18100.96779,18267.9648,15602.28732,15536.08129,15454.6556,15364.25151,15267.05497,15164.48079,15057.5491,14947.04351,14833.59142,14717.70993,14599.83421,14480.33625,14359.53787,14237.72002,14115.12977,13991.98559,13868.48155,13744.79059,13621.06726,13497.44995,13374.06271,105.78,0.010537096,0.077238721,-0.011280435,0.367896236,-0.054052035,0.794889501
2014/2/10,15793.63,15801.79,15733.69,15801.79,15822.33039,15889.75625,15973.47436,16067.46314,16169.75542,16279.12938,16394.73616,16515.94476,16642.26402,16773.2987,16908.72248,17048.26052,17191.67755,17338.76945,17489.35709,17643.28181,17800.40187,17960.58974,18123.72996,18289.71737,18458.45576,15764.98167,15698.08527,15615.8105,15524.46372,15426.25365,15322.60987,15214.56314,15102.90524,14988.27012,14871.18027,14752.07538,14631.33135,14509.27333,14386.18521,14262.31664,14137.88836,14013.09647,13888.11571,13763.10225,13638.19591,13513.52203,84.11,0.000488038,-0.299171682,-0.229236,0.465067109,-0.102060066,0.841658866
2014/2/11,15804.17,16027.19,15803.4,15994.77,15832.88954,15900.3604,15984.13438,16078.18588,16180.54643,16289.99338,16405.67732,16526.9668,16653.37036,16784.49249,16920.00664,17059.63781,17203.15055,17350.34061,17501.02875,17655.05619,17812.2811,17972.57588,18135.82497,18301.92315,18470.77415,15775.50255,15708.56151,15626.23183,15534.82409,15436.54848,15332.83554,15224.7167,15112.98428,14998.27266,14881.10466,14761.92029,14641.09568,14518.9562,14395.78594,14271.8347,14147.32339,14022.44822,13897.38405,13772.28716,13647.29746,13522.54039,95.93,0.012138569,-0.248238489,0.131493293,0.469713231,0.811052317,0.279059302
2014/2/12,15993.04,16036.56,15928.75,15963.94,16022.10276,16090.37994,16175.15507,16270.33055,16373.91437,16484.66928,16601.73572,16724.47469,16852.38886,16985.07797,17122.21161,17263.51145,17408.73927,17557.68834,17710.1773,17866.04547,18025.14932,18187.35972,18352.55974,18520.64291,18691.51178,15964.02996,15896.28893,15812.97536,15720.47523,15621.02516,15516.07278,15406.66186,15293.59416,15177.51167,15058.94344,14938.33474,14816.06619,14692.46707,14567.82485,14442.39231,14316.39301,14190.02549,14063.46673,13936.87486,13810.39145,13684.14344,77.31,-0.001929365,0.070654586,-0.215795445,0.493686988,0.422204209,0.614800562
2014/2/13,15946.99,16039.37,15863.25,16027.59,15975.96908,16044.04966,16128.58069,16223.48213,16326.76769,16437.2037,16553.93305,16676.31861,16803.86447,16936.17152,17072.9103,17213.80329,17358.61293,17507.13313,17659.18301,17814.60238,17973.24811,18134.99145,18299.7158,18467.31499,18637.69186,15918.06349,15850.51751,15767.44383,15675.21005,15576.04634,15471.39615,15362.30026,15249.55813,15133.80988,15015.58305,14895.32163,14773.40515,14650.16191,14525.87858,14400.80721,14275.17071,14149.16705,14022.9727,13896.74533,13770.62612,13644.74163,99.47,0.003979183,0.011144308,0.252032778,0.514818042,0.226289614,1.242560277
