date,close,open,high,low,vol,return
2010/8/4,10680.43 ,10630.20 ,10702.99 ,10627.53 ,173.36M,0.0041 
2010/8/5,10674.98 ,10679.67 ,10679.75 ,10612.85 ,139.61M,-0.0005 
2010/8/6,10653.56 ,10668.55 ,10668.70 ,10515.37 ,154.87M,-0.0020 
2010/8/9,10698.75 ,10654.62 ,10719.94 ,10649.40 ,166.33M,0.0042 
2010/8/10,10644.25 ,10696.63 ,10700.71 ,10551.62 ,203.49M,-0.0051 
2010/8/11,10378.83 ,10631.82 ,10631.90 ,10367.33 ,219.33M,-0.0249 
2010/8/12,10319.95 ,10361.58 ,10361.65 ,10268.71 ,221.03M,-0.0057 
2010/8/13,10303.15 ,10320.33 ,10354.92 ,10285.44 ,151.62M,-0.0016 
2010/8/16,10302.01 ,10303.07 ,10333.12 ,10209.53 ,146.04M,-0.0001 
2010/8/17,10405.85 ,10297.63 ,10480.44 ,10297.47 ,191.34M,0.0101 
2010/8/18,10415.54 ,10398.59 ,10472.30 ,10330.02 ,168.56M,0.0009 
2010/8/19,10271.21 ,10411.15 ,10411.15 ,10216.19 ,227.74M,-0.0139 
2010/8/20,10213.62 ,10270.98 ,10270.98 ,10147.24 ,251.15M,-0.0056 
2010/8/23,10174.41 ,10215.51 ,10304.70 ,10170.29 ,172.97M,-0.0038 
2010/8/24,10040.45 ,10173.05 ,10173.05 ,9991.18 ,223.68M,-0.0132 
2010/8/25,10060.06 ,10040.15 ,10097.40 ,9937.98 ,183.89M,0.0020 
2010/8/26,9985.81 ,10059.90 ,10104.71 ,9968.10 ,176.33M,-0.0074 
2010/8/27,10150.65 ,9982.18 ,10159.88 ,9936.62 ,207.76M,0.0165 
2010/8/30,10009.73 ,10145.58 ,10150.57 ,10007.68 ,150.48M,-0.0139 
2010/8/31,10014.72 ,10006.42 ,10073.38 ,9941.84 ,255.42M,0.0005 
2010/9/1,10269.47 ,10016.01 ,10279.08 ,10016.01 ,205.71M,0.0254 
2010/9/2,10320.10 ,10270.08 ,10320.37 ,10253.96 ,149.93M,0.0049 
2010/9/3,10447.93 ,10321.92 ,10451.15 ,10321.84 ,168.60M,0.0124 
2010/9/7,10340.69 ,10446.80 ,10446.80 ,10332.40 ,149.04M,-0.0103 
2010/9/8,10387.01 ,10338.49 ,10426.70 ,10335.69 ,166.76M,0.0045 
2010/9/9,10415.24 ,10388.14 ,10476.62 ,10386.63 ,163.59M,0.0027 
2010/9/10,10462.77 ,10415.01 ,10471.28 ,10403.17 ,140.32M,0.0046 
2010/9/13,10544.13 ,10458.60 ,10567.59 ,10458.60 ,190.72M,0.0078 
2010/9/14,10526.49 ,10544.73 ,10588.32 ,10499.70 ,192.41M,-0.0017 
2010/9/15,10572.73 ,10526.42 ,10587.80 ,10480.78 ,167.42M,0.0044 
2010/9/16,10594.83 ,10571.75 ,10603.69 ,10522.48 ,170.30M,0.0021 
2010/9/17,10607.85 ,10595.51 ,10650.16 ,10567.36 ,367.23M,0.0012 
2010/9/20,10753.62 ,10608.08 ,10774.13 ,10608.08 ,157.12M,0.0137 
2010/9/21,10761.03 ,10753.39 ,10833.39 ,10717.74 ,186.74M,0.0007 
2010/9/22,10739.31 ,10761.11 ,10805.38 ,10708.40 ,168.59M,-0.0020 
2010/9/23,10662.42 ,10738.48 ,10761.94 ,10640.92 ,156.83M,-0.0072 
2010/9/24,10860.26 ,10664.39 ,10865.78 ,10664.31 ,179.27M,0.0186 
2010/9/27,10812.04 ,10860.03 ,10873.20 ,10809.62 ,143.91M,-0.0044 
2010/9/28,10858.14 ,10809.17 ,10886.21 ,10728.64 ,167.11M,0.0043 
2010/9/29,10835.28 ,10857.98 ,10869.26 ,10798.88 ,158.83M,-0.0021 
2010/9/30,10788.05 ,10836.04 ,10948.88 ,10745.44 ,214.54M,-0.0044 
2010/10/1,10829.68 ,10789.72 ,10866.54 ,10780.64 ,161.89M,0.0039 
2010/10/4,10751.27 ,10828.85 ,10853.71 ,10711.12 ,160.37M,-0.0072 
2010/10/5,10944.72 ,10752.78 ,10965.61 ,10752.63 ,216.24M,0.0180 
2010/10/6,10967.65 ,10936.79 ,10974.16 ,10918.57 ,163.44M,0.0021 
2010/10/7,10948.58 ,10968.41 ,10998.53 ,10892.76 ,141.92M,-0.0017 
2010/10/8,11006.48 ,10948.50 ,11032.17 ,10929.28 ,152.28M,0.0053 
2010/10/11,11010.34 ,11006.93 ,11030.50 ,10977.90 ,114.83M,0.0004 
2010/10/12,11020.40 ,11010.79 ,11053.21 ,10913.84 ,155.15M,0.0009 
2010/10/13,11096.08 ,11022.82 ,11155.23 ,11022.07 ,224.92M,0.0069 
2010/10/14,11094.57 ,11096.99 ,11112.20 ,11023.54 ,196.17M,-0.0001 
2010/10/15,11062.78 ,11096.01 ,11141.19 ,11010.68 ,319.21M,-0.0029 
2010/10/18,11143.69 ,11062.63 ,11159.05 ,11054.76 ,190.29M,0.0073 
2010/10/19,10978.62 ,11139.60 ,11139.60 ,10917.62 ,247.64M,-0.0148 
2010/10/20,11107.97 ,10974.52 ,11152.88 ,10970.89 ,220.14M,0.0118 
2010/10/21,11146.57 ,11105.24 ,11213.54 ,11066.19 ,178.06M,0.0035 
2010/10/22,11132.56 ,11146.41 ,11159.05 ,11109.25 ,104.57M,-0.0013 
2010/10/25,11164.05 ,11133.40 ,11247.60 ,11132.34 ,168.11M,0.0028 
2010/10/26,11169.46 ,11163.14 ,11184.82 ,11087.00 ,159.04M,0.0005 
2010/10/27,11126.28 ,11168.40 ,11168.40 ,11020.82 ,167.08M,-0.0039 
2010/10/28,11113.95 ,11127.34 ,11179.34 ,11052.60 ,156.25M,-0.0011 
2010/10/29,11118.49 ,11120.45 ,11131.01 ,11075.80 ,189.65M,0.0004 
2010/11/1,11124.62 ,11120.30 ,11244.27 ,11062.33 ,150.13M,0.0006 
2010/11/2,11188.72 ,11125.22 ,11219.52 ,11125.22 ,150.39M,0.0058 
2010/11/3,11215.13 ,11184.88 ,11226.64 ,11097.37 ,177.58M,0.0024 
2010/11/4,11434.84 ,11216.65 ,11440.37 ,11216.65 ,234.68M,0.0196 
