,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
1223,2015/11/25,5106.87,5124.09,5101.18,5116.14,5118.175427,5144.740014,5177.728577,5214.766007,5255.076626,5298.178716,5343.737623,5391.504586,5441.285993,5492.92603,5546.296067,5601.287767,5657.808384,5715.777457,5775.124383,5835.786617,5897.70829,5960.839133,6025.133633,6090.550344,6157.051338,5095.589546,5069.278744,5036.981141,5001.206413,4962.84318,4922.469134,4880.501821,4837.262174,4793.006879,4747.946915,4702.259108,4656.093792,4609.580146,4562.83006,4515.941037,4468.998424,4422.077172,4375.243252,4328.554815,4282.063151,4235.813503,343.28,0.0026088800827119623,-0.1888920714248714,-0.19588180585682843,0.3694378210753646,1.1372508900253095,-1.136668768216983
1224,2015/11/27,5121.93,5134.35,5108.51,5127.52,5133.268766,5159.911691,5192.997537,5230.144189,5270.573683,5313.802879,5359.496138,5407.403965,5457.332176,5509.124497,5562.651921,5617.805789,5674.493085,5732.633106,5792.155045,5852.99617,5915.100447,5978.417462,6042.901564,6108.511186,6175.20829,5110.61628,5084.227889,5051.835041,5015.954815,4977.47845,4936.985342,4894.894268,4851.527109,4807.141307,4761.948462,4716.125923,4669.824467,4623.173653,4576.285703,4529.258406,4482.177361,4435.11774,4388.145708,4341.319588,4294.690821,4248.304785,189.35,0.002221863021930361,0.01627125207353508,-0.5949492863354654,0.32242709652673407,0.16712584462047034,-0.030664514100541797
1225,2015/11/30,5139.58,5141.36,5098.7,5108.67,5150.957839,5177.692575,5210.892433,5248.167091,5288.735904,5332.114067,5377.964783,5426.037698,5476.13796,5528.108756,5581.820634,5637.164561,5694.047198,5752.387569,5812.114618,5873.165399,5935.483686,5999.018889,6063.725201,6129.560912,6196.487852,5128.227293,5101.747969,5069.243496,5033.239628,4994.630675,4953.998029,4911.76191,4868.24531,4823.706555,4778.357977,4732.377536,4685.916526,4639.104956,4592.055431,4544.86608,4497.622795,4450.401007,4403.267112,4356.27963,4309.490183,4262.944301,616.31,-0.0036830151272537557,0.2291690386704115,1.1801529293527828,0.3778848276957,0.18905064431239924,0.828314720574828
1226,2015/12/1,5129.64,5156.31,5120.17,5156.31,5140.995834,5167.678865,5200.814514,5238.017083,5278.507435,5321.801704,5367.563744,5415.543686,5465.547054,5517.417338,5571.025336,5626.262227,5683.034853,5741.262393,5800.873929,5861.806638,5924.0044,5987.416725,6051.997895,6117.706279,6184.503781,5118.30925,5091.881136,5059.439528,5023.505291,4984.971008,4944.416946,4902.262513,4858.830074,4814.377458,4769.116584,4723.225069,4676.853916,4630.13288,4583.174349,4536.076262,4488.924346,4441.793887,4394.751148,4347.854541,4301.155585,4254.699724,463.4,0.009282111030927064,0.5193339777789818,-0.28515947170231093,0.32516845220941887,0.31170564725892913,0.6481459959725981
1227,2015/12/2,5158.82,5176.77,5117.15,5123.22,5170.240432,5197.075249,5230.399391,5267.813587,5308.534269,5352.074817,5398.097176,5446.350052,5496.637864,5548.803213,5602.71616,5658.267267,5715.362845,5773.921612,5833.872249,5895.151574,5957.703149,6021.476195,6086.424735,6152.506902,6219.684383,5147.424794,5120.846345,5088.220192,5052.081543,5013.328057,4972.543303,4930.149074,4886.469569,4841.764084,4796.245744,4750.093174,4703.458239,4656.471429,4609.245775,4561.87977,4514.45963,4467.061068,4419.750727,4372.587348,4325.622744,4278.902619,450.13,-0.006438059774031215,0.4021041579074254,-0.029054182065381635,0.13801927453544063,-0.13254120453902274,1.0466940100374795
1228,2015/12/3,5143.15,5144.6,5011.72,5037.53,5154.535742,5181.289048,5214.511967,5251.812517,5292.409509,5335.817803,5381.700367,5429.806675,5479.941737,5531.948632,5585.697819,5641.080187,5698.002337,5756.383231,5816.151766,5877.244954,5939.606528,6003.185863,6067.937121,6133.818562,6200.79199,5131.789408,5105.29169,5072.76464,5036.735763,4998.099991,4957.439122,4915.173666,4871.626838,4827.057147,4781.677069,4735.664689,4689.171408,4642.327321,4595.245115,4548.022986,4500.746885,4453.492297,4406.325662,4359.305543,4312.483595,4265.905382,486.6,-0.016867265032701372,0.34733703497844637,0.07790600041652812,0.27765401727783384,0.24919306997787313,1.3168731791415074
1229,2015/12/4,5050.93,5147.0,5043.49,5142.27,5062.111588,5088.38519,5121.012401,5157.644128,5197.51319,5240.143145,5285.203005,5332.446735,5381.682843,5432.757222,5485.542651,5539.931978,5595.833476,5653.167563,5711.86441,5771.862158,5833.105548,5895.544865,5959.135091,6023.835235,6089.607786,5039.77311,5013.750514,4981.806695,4946.423839,4908.480832,4868.549038,4827.041429,4784.275424,4740.504895,4695.938512,4650.751164,4605.091537,4559.087395,4512.849404,4466.473997,4420.045588,4373.638305,4327.317398,4281.14038,4235.15798,4189.414944,440.75,0.0205787336265641,0.4731900618222169,-0.09896460907144264,0.44197882578552383,-0.17834375949213527,1.8825849463696118
1230,2015/12/7,5139.46,5139.78,5082.23,5101.81,5150.837573,5177.571685,5210.770768,5248.044556,5288.612422,5331.989572,5377.839217,5425.91101,5476.010102,5527.979685,5581.690309,5637.032943,5693.914253,5752.253261,5811.978915,5873.028271,5935.345103,5998.878822,6063.583624,6129.417798,6196.343175,5128.107558,5101.628852,5069.125139,5033.122111,4994.514059,4953.882362,4911.64723,4868.131645,4823.59393,4778.246411,4732.267043,4685.807119,4638.996641,4591.948215,4544.759965,4497.517783,4450.297099,4403.164303,4356.177919,4309.389564,4262.844769,436.58,-0.007899237488359877,0.12215495157019962,-0.009506186731763256,0.697233009958371,0.5855510698351749,1.5739035875499354
1231,2015/12/8,5050.52,5111.73,5045.73,5098.24,5061.700681,5087.97215,5120.596712,5157.225465,5197.091291,5239.717786,5284.773988,5332.013884,5381.245995,5432.316228,5485.097372,5539.482284,5595.379244,5652.708677,5711.40076,5771.393638,5832.632057,5895.066305,5958.651369,6023.346261,6089.113473,5039.364016,5013.343532,4981.402306,4946.022322,4908.082395,4868.153842,4826.649602,4783.887069,4740.120094,4695.557328,4650.373647,4604.717727,4558.717319,4512.483081,4466.111439,4419.686799,4373.283283,4326.966136,4280.792866,4234.814199,4189.074876,417.62,-0.000699996597227292,-0.020534375411346062,-0.04439970640430064,0.7729063440940855,0.06969395313148187,3.0749487850657657
1232,2015/12/9,5077.21,5106.36,5000.12,5022.86,5088.449766,5114.86007,5147.65704,5184.479362,5224.555863,5267.407621,5312.701928,5360.191468,5409.683751,5461.02387,5514.083941,5568.756256,5624.94861,5682.581006,5741.583253,5801.89317,5863.45521,5926.219398,5990.140484,6055.177263,6121.292029,5065.995061,5039.837069,5007.727046,4972.160093,4934.019668,4893.880109,4852.156536,4809.168019,4765.169753,4720.371491,4674.949032,4629.051838,4582.808337,4536.329769,4489.713071,4443.043095,4396.394355,4349.83244,4303.415163,4257.193516,4211.21248,442.49,-0.014895889541317986,-0.03745365006817858,0.05784593718065354,0.7974092858841653,-0.17988961661652839,1.825408588225168
1233,2015/12/10,5026.3,5075.65,5019.31,5045.17,5037.427063,5063.572547,5096.040656,5132.493754,5172.168402,5214.590479,5259.430613,5306.443967,5355.439983,5406.265306,5458.793336,5512.917443,5568.546347,5625.600854,5684.011476,5743.716655,5804.661403,5866.796244,5930.076383,5994.461029,6059.912851,5015.197515,4989.301814,4957.513763,4922.303445,4884.545461,4844.808387,4803.503183,4760.945719,4717.388631,4673.039568,4628.072568,4582.635592,4536.855782,4490.843262,4444.693998,4398.491988,4352.311003,4306.215972,4260.264128,4214.505953,4168.985976,388.23,0.004431857377570373,-0.034745840341279255,-0.130819917820881,0.7329319423808168,0.5539427607365135,0.6167802518562551
1234,2015/12/11,4979.77,4996.19,4928.67,4933.47,4990.794057,5016.697503,5048.865046,5084.980686,5124.288053,5166.317416,5210.742451,5257.320588,5305.863034,5356.217851,5408.259613,5461.882676,5516.996606,5573.522942,5631.392839,5690.545309,5750.925872,5812.485513,5875.179848,5938.968465,6003.81438,4968.770294,4943.114317,4911.620538,4876.736173,4839.327726,4799.958511,4759.035682,4716.872185,4673.718318,4629.779808,4585.229081,4540.21273,4494.856717,4449.270149,4403.548103,4357.773799,4312.020326,4266.35201,4220.825557,4175.490979,4130.392395,475.11,-0.02238875554633566,-0.27148422937689,0.20194840867005587,0.7595925148925348,0.577156968887227,1.3043361675060405
1235,2015/12/14,4932.61,4953.6,4871.59,4952.23,4943.529655,4969.187788,5001.050694,5036.824308,5075.759422,5117.390753,5161.395069,5207.532096,5255.614829,5305.49277,5357.04168,5410.156916,5464.7489,5520.739914,5578.061765,5636.654042,5696.462782,5757.439433,5819.540033,5882.724552,5946.956355,4921.714465,4896.301458,4865.105935,4830.551936,4793.497759,4754.501383,4713.966106,4672.201911,4629.456724,4585.934326,4541.805509,4497.215476,4452.288999,4407.134151,4361.845107,4316.504301,4271.184127,4225.948305,4180.853001,4135.947757,4091.27627,496.83,0.0037953857632209544,-0.1278928282067584,0.04470155909776498,0.7298838225843476,0.07785579227047401,1.5304028473841642
1236,2015/12/15,4991.21,5026.54,4986.99,4995.36,5002.259382,5028.222337,5060.463777,5096.662386,5136.060054,5178.185971,5222.713063,5269.398204,5318.052166,5368.522663,5420.68398,5474.430231,5529.670774,5586.326968,5644.329809,5703.61817,5764.137445,5825.838506,5888.676869,5952.612027,6017.606912,4980.185025,4954.470108,4922.903979,4887.939474,4850.445089,4810.985431,4769.96859,4727.708232,4684.455227,4640.415777,4595.762704,4550.642937,4505.182728,4459.491435,4413.664351,4367.784891,4321.926308,4276.153079,4230.522038,4185.083313,4139.881124,449.3,0.008671501391351207,0.04896010501217152,-0.10055709919339491,0.6888319322733127,0.7910594402083542,0.9704729021681842
1237,2015/12/16,5033.48,5078.99,4992.63,5071.13,5044.622958,5070.80579,5103.32028,5139.825451,5179.556773,5222.039449,5266.943637,5314.024149,5363.090155,5413.988081,5466.591147,5520.792569,5576.500938,5633.636947,5692.131008,5751.921475,5812.953281,5875.176881,5938.547415,6003.024033,6068.569353,5022.361655,4996.428962,4964.595503,4929.334888,4891.522966,4851.729129,4810.364921,4767.746664,4724.127355,4679.71494,4634.683705,4589.181824,4543.336617,4497.25837,4451.043181,4404.775173,4358.528219,4312.367342,4266.349856,4220.526316,4174.941315,443.74,0.015054190878001287,0.17150322072328494,-0.012452010751677968,0.5785807039764301,-0.0882525373061592,0.07242975310660794
1238,2015/12/17,5087.17,5088.57,5002.55,5002.55,5098.431815,5124.893928,5157.755237,5194.649793,5234.804912,5277.740733,5323.123894,5370.706594,5420.295967,5471.7368,5524.90096,5579.680526,5635.983113,5693.728567,5752.846559,5813.274786,5874.957592,5937.844906,6001.891386,6067.055749,6133.300212,5075.933061,5049.723755,5017.550741,4981.914016,4943.698771,4903.48047,4861.675047,4818.6022,4774.517621,4729.631478,4684.119914,4638.132683,4591.798466,4545.22872,4498.520574,4451.759045,4405.018794,4358.365538,4311.857204,4265.544884,4219.473646,427.95,-0.01361589002522251,0.14481035549864396,-0.03623243899681763,0.6831354026791605,0.6124462596210233,0.25646504416487365
1239,2015/12/18,4982.58,4996.49,4921.33,4923.08,4993.610277,5019.528341,5051.714035,5087.850055,5127.179602,5169.232682,5213.682785,5260.287206,5308.857042,5359.240274,5411.311402,5464.964724,5520.109754,5576.667987,5634.570539,5693.756388,5754.171023,5815.7654,5878.495113,5942.319725,6007.202231,4971.574087,4945.903633,4914.392083,4879.488033,4842.058477,4802.667046,4761.721125,4719.533837,4676.355618,4632.392314,4587.816448,4542.774695,4497.393089,4451.780797,4406.03295,4360.232818,4314.453526,4268.759441,4223.207297,4177.847138,4132.723105,1520.0,-0.016013431530360753,0.09737078401414712,1.2674592475127033,0.8906574556336028,2.5375686898537735,-0.5797346979316154
1240,2015/12/21,4957.53,4968.92,4928.93,4968.92,4968.504822,4994.292582,5026.316462,5062.270808,5101.402626,5143.244283,5187.470912,5233.841028,5282.166679,5332.296609,5384.105948,5437.489527,5492.357315,5548.6312,5606.242646,5665.130937,5725.241837,5786.526547,5848.940885,5912.444618,5977.000926,4946.57942,4921.038024,4889.684898,4854.95633,4817.714951,4778.521562,4737.781496,4695.806305,4652.845166,4609.102889,4564.751128,4519.935823,4474.782373,4429.399399,4383.88155,4338.311678,4292.762542,4247.298185,4201.975055,4156.842946,4111.945774,393.92,0.009268161773763174,0.045141944016587665,-1.3503177708442333,0.737670194575975,0.8117069574568688,0.04856583796708522
1241,2015/12/22,4988.68,5007.77,4964.08,5001.11,4999.723781,5025.673575,5057.898673,5094.078933,5133.456631,5175.561194,5220.065716,5266.727193,5315.356492,5365.801406,5417.936283,5471.655291,5526.867833,5583.495308,5641.468749,5700.727056,5761.215655,5822.88544,5885.691951,5949.594701,6014.55664,4977.660613,4951.958731,4920.408603,4885.461821,4847.986441,4808.546785,4767.550735,4725.311798,4682.080718,4638.063592,4593.433153,4548.336256,4502.899091,4457.230958,4411.427104,4365.570899,4319.735562,4273.985535,4228.377623,4182.961932,4137.782655,346.17,0.006457375124043636,0.017999056861981888,-0.12921785912140263,0.48323617760846255,-0.20901937189729358,0.1472770880275112
1242,2015/12/23,5025.55,5046.09,5020.44,5045.93,5036.675403,5062.816985,5095.28025,5131.727909,5171.396636,5213.812383,5258.645826,5305.652165,5354.640871,5405.45861,5457.978801,5512.094832,5567.715436,5624.761429,5683.163336,5742.859606,5803.795259,5865.920829,5929.191526,5993.566564,6059.00862,5014.449172,4988.557334,4956.774027,4921.568963,4883.816613,4844.085469,4802.786428,4760.235314,4716.684725,4672.34228,4627.381989,4581.951794,4536.178814,4490.17316,4444.030782,4397.835667,4351.661572,4305.573419,4259.628432,4213.877085,4168.3639,354.6,0.008922089952739307,-0.05031381806709856,0.024060409765421387,0.34996067540516773,0.01687042928680729,-0.008380038611264708
1243,2015/12/24,5046.19,5063.28,5043.65,5048.49,5057.361095,5083.610041,5116.206633,5152.803983,5192.63563,5235.225579,5280.243154,5327.442549,5376.632451,5427.658899,5480.394792,5534.733078,5590.582116,5647.862398,5706.504162,5766.445606,5827.631523,5890.012244,5953.542794,6018.182221,6083.893048,5035.04358,5009.045405,4977.131563,4941.781912,4903.874512,4863.980192,4822.511535,4779.785663,4736.056211,4691.531651,4646.386708,4600.76993,4554.80896,4508.614361,4462.282475,4415.897636,4369.533904,4323.256466,4277.122782,4231.183534,4185.483425,172.22,0.0005072109254186326,-0.17193342368983044,-0.7222176643720885,0.12749446588457117,0.9471626341533176,-2.0375342372955023
1244,2015/12/28,5032.29,5041.27,4999.07,5040.98,5043.430324,5069.606965,5102.113768,5138.610309,5178.332238,5220.804871,5265.698442,5312.767823,5361.82223,5412.708123,5465.298752,5519.48736,5575.182559,5632.30506,5690.785292,5750.561623,5811.579,5873.78789,5937.143442,6001.604817,6067.13464,5021.174284,4995.247722,4963.421788,4928.169509,4890.366527,4850.582098,4809.227669,4766.619488,4723.010491,4678.608576,4633.587987,4588.096863,4542.262496,4496.195141,4449.990879,4403.73381,4357.497789,4311.347825,4265.341219,4219.528513,4173.954288,299.29,-0.001488681048053815,-0.29425850586834956,0.5526402737394475,0.08772670098565077,0.576826278495542,0.03906610866574676
1245,2015/12/29,5066.52,5116.99,5065.89,5107.94,5077.736101,5104.090798,5136.818715,5173.563507,5213.555628,5256.317163,5301.516103,5348.905654,5398.293732,5449.525754,5502.474109,5557.031312,5613.105353,5670.616405,5729.494424,5789.677359,5851.10978,5913.74182,5977.52832,6042.428166,6108.403728,5055.328674,5029.225757,4997.183342,4961.691274,4923.631154,4883.576108,4841.940383,4799.042378,4755.13675,4710.43281,4665.105987,4619.30543,4573.159293,4526.778585,4480.260039,4433.688325,4387.137804,4340.673924,4294.354378,4248.23005,4202.345826,296.09,0.013195684195109218,-0.32207815237068793,-0.01074954084441841,0.16815527924832982,0.3883764513938367,0.4002114743264798
1246,2015/12/30,5101.18,5102.35,5065.69,5065.85,5112.47283,5139.007819,5171.959627,5208.955791,5249.221497,5292.275563,5337.783708,5385.497451,5435.223392,5486.805892,5540.116465,5595.046894,5651.504537,5709.409021,5768.689824,5829.284469,5891.137149,5954.197653,6018.420517,6083.764341,6150.191241,5089.912114,5063.630628,5031.36901,4995.634142,4957.313653,4916.984591,4875.064037,4831.872567,4787.666581,4742.656822,4697.019919,4650.90604,4604.444219,4557.746221,4510.909442,4464.019131,4417.150158,4370.36842,4323.732002,4277.292139,4231.094021,270.26,-0.008274249838936232,0.1487534714697647,-0.09127900355310821,0.28052427066060387,0.9333741294633348,-0.5296203358990446
1247,2015/12/31,5047.04,5058.06,5007.01,5007.41,5058.212977,5084.466344,5117.068427,5153.671941,5193.510298,5236.107421,5281.132579,5328.339924,5377.538112,5428.573155,5481.317931,5535.66537,5591.523816,5648.813746,5707.465388,5767.416928,5828.613152,5891.00438,5954.545632,6019.195947,6084.917843,5035.891703,5009.889148,4977.969931,4942.614325,4904.70054,4864.799499,4823.323858,4780.590789,4736.853971,4692.321911,4647.169363,4601.544902,4555.57619,4509.373809,4463.034119,4416.641467,4370.269925,4323.984692,4277.843237,4231.896251,4186.188445,384.4,-0.011603126626144001,0.09126818924811797,0.3522992184861974,0.39123074358911675,1.1425283760983487,0.7342335281362532
1248,2016/1/4,4897.65,4903.09,4846.98,4903.09,4908.492262,4933.968542,4965.605618,5001.125686,5039.784846,5081.121115,5124.813549,5170.623579,5218.365524,5267.889954,5319.07351,5371.81229,5426.017352,5481.611528,5538.527109,5596.704111,5656.088956,5716.633433,5778.293894,5841.03059,5904.807149,4886.831687,4861.598796,4830.624372,4796.315275,4759.52372,4720.803732,4680.55575,4639.08756,4596.645331,4553.431399,4509.615345,4465.341346,4420.733287,4375.898475,4330.930417,4285.910966,4240.911999,4195.996788,4151.221098,4106.634121,4062.279244,569.79,-0.021053196746749957,0.35693982029776095,0.39358419479611717,0.41800336343738487,0.5688397181815145,0.34972936455978754
1249,2016/1/5,4917.84,4926.73,4872.74,4891.43,4928.726958,4954.308261,4986.075758,5021.742253,5060.560781,5102.067453,5145.940004,5191.938881,5239.877637,5289.606226,5341.00078,5393.95697,5448.385486,5504.208842,5561.359051,5619.775882,5679.405533,5740.199598,5802.114247,5865.109569,5929.149039,4906.97709,4881.640179,4850.538067,4816.087535,4779.144311,4740.264704,4699.850804,4658.211666,4615.594474,4572.202397,4528.205717,4483.749203,4438.957252,4393.937614,4348.784181,4303.579142,4258.394672,4213.294303,4168.334031,4123.563249,4079.025524,428.07,-0.0023809243348697465,0.04995565321572304,-0.28598113828166094,0.35783957653392673,0.10768967029652268,0.8155485923317394
