Date,Open,High,Low,Close,QPLp1,QPLp21,QPLn1,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2012/11/8,2942.09,2949.7,2895.58,2895.58,2948.603105,3547.104033,2935.591281,2440.270567,438.16,-0.014301951,0.268663558,-0.08771673,0.269903526,0.367573075,0.336288594
2012/11/9,2892.57,2931.11,2889.81,2904.87,2898.97348,3487.400695,2886.180665,2399.196977,417.31,0.003203202,-0.100496317,-0.04875479,0.112637028,0.800568621,-0.14658109
2012/11/12,2916.38,2920.01,2896.55,2904.25,2922.836189,3516.107005,2909.938072,2418.945809,297.28,-0.000213457,-0.064647423,-0.339154895,0.197251061,0.094226275,0.353637541
2012/11/13,2880.77,2909,2877.06,2883.89,2887.147357,3473.174133,2874.40673,2389.409651,417.56,-0.007035104,-0.021542938,0.339753791,0.188143452,-0.103660659,0.442674971
2012/11/14,2896.81,2900.1,2842.86,2846.81,2903.222866,3492.512613,2890.411299,2402.713778,481.76,-0.012941008,-0.011312571,0.143017818,0.200195618,-0.130905086,0.617539835
2012/11/15,2847.84,2855.64,2826.75,2836.94,2854.144458,3433.472378,2841.549468,2362.096377,446.32,-0.003473063,-0.497803434,-0.076409881,0.195235825,0.296770326,0.304683311
2012/11/16,2838.9,2859.57,2810.8,2853.13,2845.184667,3422.693948,2832.629215,2354.681234,555.84,0.005690631,-0.076329969,0.2194443,0.278106147,-0.187429861,0.896174973
2012/11/19,2886,2916.07,2884.75,2916.07,2892.388935,3479.479635,2879.625177,2393.747593,402.06,0.021820182,0.288834742,-0.323879152,0.308972118,-0.429842889,1.317954333
2012/11/20,2910.73,2919.96,2893.38,2916.68,2917.173682,3509.295134,2904.300552,2414.259505,350.53,0.000209164,0.005411357,-0.137155036,0.412726297,0.20407637,0.42775339
2012/11/21,2919.14,2928.17,2912.42,2926.55,2925.602299,3519.434574,2912.691975,2421.235048,287.91,0.003378272,-0.191024215,-0.196798364,0.370645383,-0.220298407,0.693273849
2012/11/23,2943.62,2967.19,2940.68,2966.85,2950.136492,3548.948663,2937.117902,2441.539601,182.64,0.013676529,0.003229567,-0.455130929,0.289763798,-0.168175942,0.488109113
2012/11/26,2961.02,2976.93,2951.73,2976.78,2967.575012,3569.926815,2954.479467,2455.971759,379.66,0.003341395,0.062311374,0.731759113,0.298458918,-0.149225458,0.660517104
2012/11/27,2974.56,2985.32,2965.13,2967.79,2981.144986,3586.251193,2967.989559,2467.202301,394.72,-0.003024611,-0.362141307,0.038900537,0.231734576,0.712871871,-0.323485901
2012/11/28,2952.02,2992.17,2935.88,2991.78,2958.555088,3559.076047,2945.499347,2448.50685,411.77,0.00805096,0.08463717,0.042288288,0.363889329,0.668469741,-0.031031903
2012/11/29,3005.41,3017.18,2996.3,3012.03,3012.063281,3623.445214,2998.771415,2492.790351,380.1,0.006745742,0.175980489,-0.080030565,0.354942773,-0.041221637,0.686916831
2012/11/30,3013.25,3014.25,2999.72,3010.24,3019.920637,3632.897439,3006.594097,2499.293117,655.38,-0.00059446,-0.132984752,0.544780844,0.340053652,0.359553458,0.32018535
2012/12/3,3029.21,3030.28,2999.57,3002.2,3035.915969,3652.139468,3022.518844,2512.530889,371.18,-0.002674457,-0.191752063,-0.5685281,0.230535253,0.01650999,0.370957985
2012/12/4,3000.44,3002.9,2980.93,2996.69,3007.082279,3617.453179,2993.812393,2488.668062,391.21,-0.001837007,-0.02830333,0.05255738,0.110294298,0.714105653,-0.231251467
2012/12/5,2993.2,2994.73,2958.26,2973.7,2999.826251,3608.724339,2986.588385,2482.662957,396.2,-0.007701378,-0.06075808,0.012674634,0.25665931,0.081302665,0.315940677
2012/12/6,2967.99,2996.53,2962.02,2989.27,2974.560442,3578.330132,2961.434071,2461.752917,364.11,0.005222242,-0.098273743,-0.084463114,0.33749508,0.580008113,0.445811414
2012/12/7,2999.69,3003.27,2968.82,2978.04,3006.330618,3616.548948,2993.06405,2488.045986,337.01,-0.003763844,0.108019748,-0.077343416,0.31056158,1.21592949,-0.349279385
2012/12/10,2973.19,2997.64,2971.56,2986.96,2979.771954,3584.599465,2966.622585,2466.065976,331.96,0.002990782,0.056686737,-0.015098124,0.318168877,0.793752535,0.291306224
2012/12/11,3005.43,3033.14,3003.82,3022.3,3012.083325,3623.469327,2998.791371,2492.80694,426.18,0.011761983,0.144674829,0.249847313,0.36413442,0.823660349,0.20195833
2012/12/12,3033.93,3035.19,3008.49,3013.81,3040.646418,3657.830093,3027.228418,2516.445819,365.55,-0.002813072,0.073016479,-0.153458723,0.384816517,0.718580007,0.452159538
2012/12/13,3007.83,3026.51,2982.63,2992.16,3014.488639,3626.362865,3001.18607,2494.797582,382.58,-0.007209524,-0.077175177,0.045534713,0.351404823,0.329188206,0.472848438
2012/12/14,2976.95,2985.33,2963.8,2971.33,2983.540277,3589.132674,2970.37428,2469.184649,378.69,-0.006985871,0.114391671,-0.010219853,0.275752075,0.975896717,-0.264137122
2012/12/17,2975.5,3011.22,2973.54,3010.6,2982.087067,3587.384495,2968.927483,2467.981969,414.46,0.01312973,0.214538885,0.09025854,0.281213539,0.067360276,0.426627862
2012/12/18,3020.82,3056.65,3016.4,3054.53,3027.507395,3642.024141,3014.147376,2505.571935,424.9,0.01448634,0.257060493,0.024877379,0.315738283,0.095765034,0.534328555
2012/12/19,3059.03,3061.82,3044.36,3044.36,3065.801983,3688.091679,3052.272975,2537.264622,407.37,-0.003335036,0.019359561,-0.042131984,0.292885279,-0.071525566,0.78689656
2012/12/20,3050.3,3053.53,3034.15,3050.39,3057.052657,3677.566434,3043.562259,2530.02366,367.04,0.001978753,-0.017362469,-0.104251029,0.335812674,-0.275022884,0.885666435
2012/12/21,2998.6,3022.19,2995.13,3021.01,3005.238205,3615.2348,2991.976458,2487.141903,1080,-0.009678239,-0.042024829,1.079245486,0.134364107,-0.306688346,0.381687653
2012/12/24,3013.89,3016.18,3008.53,3012.6,3020.562054,3633.669049,3007.232684,2499.823955,146.53,-0.002787719,-0.100365392,-1.997486134,-0.026815045,-0.531539118,0.424622735
2012/12/26,3013.13,3018.65,2983.35,2990.16,3019.800372,3632.752762,3006.474363,2499.193584,227.33,-0.007476596,-0.43554095,0.439172521,0.037521654,-0.180242047,0.212246877
2012/12/27,2989.87,2993.66,2951.04,2985.91,2996.488879,3604.709555,2983.265741,2479.900941,283.95,-0.00142234,-0.184900502,0.22239546,0.03848219,-0.331086028,0.448331042
2012/12/28,2965.12,2985.47,2959.37,2960.31,2971.684088,3574.869943,2958.570411,2459.37244,257.63,-0.008610565,0.032459184,-0.097273719,0.136184216,0.104867272,0.187492076
2012/12/31,2955.45,3021.41,2953.52,3019.51,2961.992681,3563.211395,2948.921771,2451.35181,374.05,0.019800574,0.493710677,0.372865031,0.166945865,-0.173294447,0.547061038
2013/1/2,3091.33,3112.65,3083.49,3112.26,3098.173488,3727.03388,3084.501628,2564.055352,482.5,0.030254584,0.607725533,0.254591442,0.165817406,0.343647389,-0.093523123
2013/1/3,3108.49,3118.18,3092.28,3100.57,3115.371476,3747.722678,3101.623724,2578.288446,379.34,-0.003763185,0.054142696,-0.24054802,0.132754046,0.345896623,0.000767699
2013/1/4,3100.88,3108.44,3090.81,3101.66,3107.74463,3738.547751,3094.030533,2571.97645,366.4,0.000351486,-0.005163769,-0.034707268,0.115597625,0.077220203,0.52235689
2013/1/7,3089.17,3102.35,3083.88,3098.81,3096.008706,3724.429696,3082.346399,2562.263774,349.04,-0.000919285,-0.006691373,-0.048539104,0.203282581,0.161161236,0.242190679
2013/1/8,3098.46,3103.39,3076.6,3091.81,3105.319272,3735.6301,3091.615879,2569.969219,372.48,-0.002261487,-0.105538655,0.064996816,0.196216598,0.318769625,0.3673648
2013/1/9,3099.65,3111.22,3096.34,3105.81,3106.511907,3737.064813,3092.80325,2570.956246,353.26,0.004517871,-0.862068804,-0.052979015,0.248569239,0.533763063,0.038366317
2013/1/10,3125.64,3127.72,3098.47,3121.76,3132.559443,3768.39942,3118.735842,2592.513245,353.22,0.005122394,-0.618620065,-0.000113237,0.375679647,0.352770042,0.484952818
2013/1/11,3122.12,3126.59,3114.1,3125.64,3129.03165,3764.155564,3115.223617,2589.593636,342.67,0.001242117,0.063714558,-0.030323207,0.416488757,0.770889596,0.494852893
2013/1/14,3113.65,3123.48,3104.08,3117.5,3120.542899,3753.943785,3106.772326,2582.568327,386.85,-0.002607664,0.033465552,0.121269136,0.438952342,0.681035891,0.375287079
2013/1/15,3101.06,3112.29,3093.32,3110.78,3107.925028,3738.764766,3094.210136,2572.125749,374.3,-0.0021579,0.037914088,-0.032979406,0.405029992,1.280118216,-0.078821772
2013/1/16,3110.72,3124.65,3106.79,3117.54,3117.606413,3750.411258,3103.848798,2580.138085,352.34,0.002170731,-0.06044761,-0.060460996,0.319858782,1.481969867,-0.538504824
2013/1/17,3130.49,3144.05,3125.79,3136,3137.420179,3774.246778,3123.575129,2596.536002,375.2,0.005903873,-0.137116644,0.062862599,0.193645306,0.588710052,0.07554461
2013/1/18,3127.91,3134.73,3119.2,3134.71,3134.834468,3771.136225,3121.000827,2594.396061,486.02,-0.000411437,-0.064022673,0.258790558,0.225722997,-0.268921228,0.821281756
2013/1/22,3135.63,3143.18,3121.54,3143.18,3142.571558,3780.443772,3128.703775,2600.799295,379.22,0.00269836,-0.038402655,-0.248133264,0.237437448,-0.099414174,0.476363641
