Date,Open,High,Low,Close,Hurst
2015/4/22,5026.57,5040.65,4992.62,5035.17,0.529590054
2015/4/23,5020.22,5073.09,5019.3,5056.06,0.519744009
2015/4/24,5096.34,5100.37,5081.21,5092.09,0.530658871
2015/4/27,5104.36,5119.83,5053.54,5060.25,0.536606793
2015/4/28,5063.26,5075.3,5006.28,5055.42,0.537704112
2015/4/29,5028.45,5053.85,4999.83,5023.64,0.533343403
2015/4/30,4996.99,5015.96,4921.56,4941.42,0.515036422
2015/5/1,4966.32,5005.39,4962.74,5005.39,0.505404529
2015/5/4,5018.35,5043.62,5013.02,5016.93,0.501687442
2015/5/5,5000.19,5008.27,4934.34,4939.33,0.508294567
2015/5/6,4956.7,4965.1,4888.17,4919.64,0.513835321
2015/5/7,4917.75,4957.12,4914.53,4945.54,0.511424363
2015/5/8,4991.63,5014.33,4989.26,5003.55,0.507347925
2015/5/11,5003.26,5017.38,4992.02,4993.57,0.512465541
2015/5/12,4966.44,4995.5,4931.6,4976.19,0.503374469
2015/5/13,4991.42,5012.97,4977.49,4981.69,0.508925051
2015/5/14,5016.68,5051.72,4999.65,5050.8,0.509439302
2015/5/15,5059.15,5062.65,5034.84,5048.29,0.498916404
2015/5/18,5040.92,5084.5,5037.54,5078.44,0.490957928
2015/5/19,5080.44,5087.35,5062.8,5070.03,0.508920953
2015/5/20,5072.44,5097.52,5050.21,5071.74,0.521301113
2015/5/21,5065.94,5098.23,5062.51,5090.79,0.520513137
2015/5/22,5085.39,5103.84,5085.19,5089.36,0.508816165
2015/5/26,5076.91,5081.17,5016.73,5032.75,0.502436696
2015/5/27,5047.86,5111.54,5039.37,5106.59,0.509111534
2015/5/28,5096.34,5106.65,5080.25,5097.98,0.519833529
2015/5/29,5093.1,5099.4,5057.59,5070.02,0.52479747
2015/6/1,5094.94,5099.01,5045.67,5082.93,0.537316824
2015/6/2,5063.47,5100.02,5047.35,5076.52,0.533656939
2015/6/3,5098.48,5114.6,5084.99,5099.23,0.521390285
2015/6/4,5078.22,5101.11,5046.29,5059.12,0.516406424
2015/6/5,5057.04,5074.98,5025.52,5068.46,0.513192309
2015/6/8,5066.65,5069,5014.06,5021.63,0.509735625
2015/6/9,5013.13,5027.02,4974.61,5013.86,0.516516401
2015/6/10,5029.41,5086.66,5024.17,5076.69,0.515846601
2015/6/11,5088.26,5101.39,5075.05,5082.51,0.527870425
2015/6/12,5060.24,5067.96,5043.24,5051.1,0.525683429
2015/6/15,5011.79,5035.37,4985.94,5029.97,0.52260275
2015/6/16,5023.58,5063.06,5022.56,5055.55,0.512201746
2015/6/17,5067.68,5080.11,5042.25,5064.88,0.512700816
2015/6/18,5082.06,5143.32,5082.03,5132.95,0.506103862
2015/6/19,5139.77,5140.17,5113.94,5117,0.495517841
2015/6/22,5147.87,5162.13,5142.78,5153.97,0.477588147
2015/6/23,5161.68,5163.41,5139.33,5160.1,0.475899193
2015/6/24,5151.38,5164.36,5121.64,5122.41,0.478938297
2015/6/25,5139.48,5141.71,5102.16,5112.19,0.485533391
2015/6/26,5113.26,5121.47,5060.82,5080.51,0.480342953
2015/6/29,5021.21,5051.01,4956.23,4958.47,0.470345527
2015/6/30,5000.15,5008.76,4968.26,4986.87,0.463556484
2015/7/1,5029.05,5038.55,4994.47,5013.12,0.478570691
2015/7/2,5024.3,5027.47,4990.74,5009.21,0.487260015
2015/7/6,4963.8,5020.71,4960.93,4991.94,0.492943245
2015/7/7,4993.76,5001.99,4902.21,4997.46,0.492998466
2015/7/8,4953.98,4965.45,4901.51,4909.76,0.502802201
2015/7/9,4976.15,4982.19,4920.4,4922.4,0.506920238
2015/7/10,4981.24,5008.05,4966.51,4997.7,0.519377958
2015/7/13,5037.27,5074.81,5036.68,5071.51,0.501238109
2015/7/14,5077.12,5116.52,5075.12,5104.89,0.50025935
2015/7/15,5111.11,5125.32,5088.12,5098.94,0.488866754
2015/7/16,5138.18,5163.18,5128.56,5163.18,0.492812894
2015/7/17,5196.11,5210.16,5183.23,5210.14,0.499211168
2015/7/20,5223.18,5231.94,5201.49,5218.86,0.491237368
2015/7/21,5219.2,5229,5196.3,5208.12,0.485506282
2015/7/22,5146.03,5184.74,5145.78,5171.77,0.489798494
2015/7/23,5180.33,5197,5137.64,5146.41,0.493740073
2015/7/24,5166.91,5167.54,5084.51,5088.63,0.489530269
2015/7/27,5055.92,5072.88,5032.69,5039.78,0.473373784
2015/7/28,5063.44,5097.69,5025.61,5089.21,0.472203153
2015/7/29,5097.86,5117.84,5080.04,5111.73,0.473207898
2015/7/30,5100.3,5135.65,5070.62,5128.78,0.474050607
2015/7/31,5148.18,5155.02,5122.37,5128.28,0.467894551
2015/8/3,5134.34,5143.08,5082.32,5115.38,0.472208085
2015/8/4,5110.96,5125.9,5092.46,5105.55,0.466292786
2015/8/5,5132.77,5175.26,5131.86,5139.94,0.471857896
2015/8/6,5146.62,5149.93,5035.41,5056.44,0.482360803
