date,log_returns,hurst,hurstm
2011/9/28,-0.021932401,0.369622942,0.390525284
2011/9/29,-0.004352083,0.360730024,0.384569582
2011/9/30,-0.02670006,0.351780313,0.348681916
2011/10/3,-0.033497617,0.396455392,0.378200443
2011/10/4,0.029107768,0.377470577,0.384210076
2011/10/5,0.022893589,0.381926707,0.318086065
2011/10/6,0.018646372,0.398206934,0.331440771
2011/10/7,-0.011018589,0.399009016,0.345416487
2011/10/10,0.034371323,0.402564491,0.381435524
2011/10/11,0.006595377,0.410231629,0.359333147
2011/10/12,0.008365895,0.408536855,0.364454389
2011/10/13,0.005936894,0.404915485,0.360792218
2011/10/14,0.018006988,0.38108322,0.407266311
2011/10/17,-0.0200394,0.385745026,0.361270164
2011/10/18,0.016125986,0.375014716,0.37689497
2011/10/19,-0.020295405,0.365853016,0.409182321
2011/10/20,-0.00208355,0.369982533,0.385644728
2011/10/21,0.014835798,0.3872414,0.36915066
2011/10/24,0.023228011,0.409115083,0.409648068
2011/10/25,-0.022864091,0.377770466,0.371956782
2011/10/26,0.004632185,0.377516672,0.334174387
2011/10/27,0.032645357,0.376579193,0.353504724
2011/10/28,-0.000540562,0.372856794,0.351158161
2011/10/31,-0.019456269,0.384601843,0.375977917
2011/11/1,-0.029276173,0.40993013,0.48315991
2011/11/2,0.01258655,0.394376918,0.452720603
2011/11/3,0.021728297,0.389799661,0.393334132
2011/11/4,-0.004390697,0.386232515,0.450318127
2011/11/7,0.003382023,0.393688841,0.4249972
2011/11/8,0.011890808,0.394499391,0.435469704
2011/11/9,-0.039577882,0.373849625,0.444852181
2011/11/10,0.001334147,0.377398387,0.448901582
2011/11/11,0.020212231,0.368202991,0.46700322
2011/11/14,-0.008069804,0.372176975,0.468641545
2011/11/15,0.010847092,0.374776947,0.500043968
2011/11/16,-0.017496377,0.380848824,0.483012768
2011/11/17,-0.019749666,0.363420872,0.452327349
2011/11/18,-0.006003324,0.365769191,0.450716113
2011/11/21,-0.019374031,0.35304173,0.430025464
2011/11/22,-0.000737449,0.35766985,0.434716585
2011/11/23,-0.024572839,0.357616477,0.43132992
2011/11/25,-0.007577169,0.355972204,0.424665339
2011/11/28,0.034550666,0.361325564,0.453329057
2011/11/29,-0.0046918,0.359164621,0.454200372
2011/11/30,0.040828514,0.330667996,0.430251791
2011/12/1,0.002233854,0.345312946,0.439628973
2011/12/2,0.00027793,0.313391137,0.391192082
2011/12/5,0.010915002,0.305557274,0.413708012
2011/12/6,-0.002337278,0.303190151,0.388895139
2011/12/7,-0.000132106,0.308503274,0.376665275
2011/12/8,-0.020143315,0.311764167,0.376009417
2011/12/9,0.019252087,0.316304363,0.381920318
2011/12/12,-0.013154507,0.322863609,0.371860398
2011/12/13,-0.012709334,0.329143256,0.414411908
2011/12/14,-0.015614023,0.331046808,0.413325115
2011/12/15,0.000669249,0.332985851,0.415006178
2011/12/16,0.005619734,0.329482138,0.416429643
2011/12/19,-0.012677216,0.317827041,0.382018249
2011/12/20,0.031440875,0.339996764,0.366055716
2011/12/21,-0.009942765,0.345938419,0.371502521
2011/12/22,0.008297617,0.359155386,0.367571693
2011/12/23,0.007355215,0.355373163,0.334365004
2011/12/27,0.002501985,0.352567902,0.338360351
2011/12/28,-0.01350693,0.380115605,0.376208941
2011/12/29,0.009131992,0.346084938,0.382317269
2011/12/30,-0.003291891,0.358617529,0.323722978
2012/1/3,0.016586249,0.327827379,0.285671177
2012/1/4,-0.000135924,0.327380868,0.281042492
2012/1/5,0.008085456,0.319302642,0.279724774
